,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
28,"[-6223.899203266061, -127.2136263877801, 4640.062552716889, 0.461326533869147, 4.189035173531614, 0.794985995663861, 7.52981189061267, 1.8048422534552522, 11.703041242194509, 11.569297524618602, 4.30325557566179, -10.800014646597397, 59865.38428850038, 47932.281229094486, -39869.089316395286]","[array([ -82.66031,   24.67316, -102.29955]), array([ 82.66031, -24.67316, 102.29955])]","[array([446101.09019982,  62999.12792457, 113359.57280553]), array([446101.09019982,  62999.12792457, 113359.57280553])]",
29,"[9483.313282371251, -9553.941133447885, -9175.76254407132, 1.673369502878656, 0.2964083696896444, 3.8854831982929348, 3.623888242513271, 2.991974875164926, -4.128397274890102, -2.8604985007642227, 4.306921193527543, -4.598362296386886, -78950.60817390391, -20968.98850526358, -282710.58700933977]",0,0,
30,"[-1732.9024238978454, -5985.323531991713, -9726.709156020259, 3.730191790670828, 0.9745892337588482, 3.381187301764048, -9.004653615126713, 2.6725252363049794, -7.01825692993281, 2.6838678436251566, 0.24340253864583516, -0.02591809324996852, -14237.392606206296, 31323.206698767463, -162353.3119196944]",0,0,
31,"[-434.5635266869722, 4232.707814075497, -8385.519603282617, 2.663397598632372, 3.472052973635272, 0.7675671885147359, -2.4505750910002266, -2.3928348970655255, 8.741423999789088, 9.076247693844952, -11.26034690064117, -7.128052389376111, -83090.93803594167, 81783.00169698981, -353299.22167044587]",0,0,
32,"[8712.54433093925, -8554.10313879706, 3950.8686490044, 4.768614764865761, 3.221186356030232, 0.4593138926819045, -10.028440304345228, 11.098332402241141, -5.641691026116442, -11.549524541156204, 3.364358431843554, -8.08142612505215, -73772.55475664773, 129208.53198910155, -51122.13058096438]",0,0,
33,"[-4045.1338493295943, 4093.364435869933, -7388.619753301336, 5.609091552317223, 0.19137869612528005, 5.024267486560271, 0.5335275632140917, -3.301038075785746, -1.3660613611507362, 9.356435244126374, -1.965529916091608, 2.687147132944606, 112840.2979590816, 116154.25902382913, -65104.89283130632]",0,0,
34,"[2592.2546062567326, 3328.2010855850986, -4965.5938311961245, 5.6491675417308596, 1.49101659364259, 3.577872241738075, -6.4024526138050835, 0.26564766916221316, 3.2129386719810444, 3.5830883161880323, 7.222948107680697, -5.421540131794493, 121509.01219154219, -39586.22220577326, -87837.95762005111]","[array([-124.33453,  172.44428,  -10.53719]), array([ 124.33453, -172.44428,   10.53719])]","[array([1105396.24442443,  226479.565801  ,  374428.56693978]), array([1105396.24442443,  226479.565801  ,  374428.56693978])]",
35,"[-9248.612271056265, -9608.136867989058, -5607.939342614408, 2.8631661621093483, 5.829483690354331, 5.782884634869513, 5.364502216574714, 3.623967707302075, 4.471902681177726, 0.9079163742199601, -1.567286711557811, -2.5680354266071532, -133630.88227654455, -144983.98041335164, -258357.33271889362]","[array([-123.53728,  -79.78521, -112.29832])]","[array([1069239.62428978,  558553.68276259,  721419.28523194])]",
36,"[-6749.412095315865, 6303.826118259813, -289.696654922016, 4.563038752672944, 2.80576375379195, 5.664254593160964, -8.630455339468375, -6.306184501741313, 3.599329682414922, -10.518002219294065, 7.016012681606053, 0.6636585184594423, -104808.3822834109, -82889.71192674497, -396021.35364293476]",0,0,
37,"[7194.946663886345, 8732.608641213657, -7006.923842941786, 3.705391844742718, 4.923518736596067, 5.165477666457134, -7.180017665649818, 8.870259123553929, 3.4173688899485395, -6.278800094211051, 1.6304895900139975, -6.09284719371107, -21722.401607779888, -105014.63189590754, -302520.1199016233]",0,0,
