-2.51112090349415 - 1.9072117855573194im,-1.763275866695546 + 3.0648861422754368im,-0.2908470706189854 + 0.3829423477151764im,6.007770933569138 + 1.7657960783292537im
0.025434037706303158 - 0.047632108809412425im,-1.7784466522450313 + 3.0803599602391727im,1.9428495398752315e-31 + 2.1487265608737276e-31im,1.3472087464131086 + 1.1053083281784108im
0.02543403770630316 + 0.047632108809412425im,-1.7784466522450313 - 3.0803599602391727im,1.2769930975490002e-32 - 1.7085958832097939e-31im,1.3472087464131086 - 1.1053083281784106im
-2.447369334036911 + 2.0187182054809907im,-1.7618832103776878 - 3.0659792018889775im,0.3078516402402524 + 0.3732203245164877im,7.21669733924839 - 1.2679457672468346im
2.9847228658908556 - 2.4085022739542246im,-1.7784466522450315 - 3.0803599602391727im,-3.229913456536657e-33 - 2.4154567872337358e-32im,4.918785877290256 + 5.280812000157089im
0.3146708797220869 + 4.088655333527448im,3.556893304490063 + 1.1444848980096719e-31im,2.7018592094388868e-33 - 4.7611712580347295e-33im,6.294319074176698 - 3.8521747461149447im
-0.04589368213267495 + 3.8316754883881717e-47im,3.5568933044900635 + 5.254869241218064e-46im,-9.428601325556478e-31 - 1.401298464324817e-45im,1.6506677247279693 - 3.941151930913548e-46im
0.24054115104013232 - 4.018697691901022im,3.521823140021072 - 0.004213098386892785im,-0.612845652613844 - 0.0366821816397793im,5.856147014136312 + 2.876262881390769im
2.517190987492385 + 1.3433596971073292im,-1.7706202108062628 + 3.064437303248563im,0.2048604332513085 - 0.38386802684670607im,2.4346982843612808 + 6.672738068118677im
-2.4981971970233734 - 1.9793911545276912im,-1.7784466522450315 + 3.0803599602391727im,3.5011432101414646e-33 - 1.4436890899286802e-32im,6.616476954666967 + 1.5028528460355033im
0.025431769401201423 - 0.04763121086468025im,-1.77844945744125 + 3.0803656615873494im,-0.007263691560074565 - 0.003878308474711698im,1.3474256823371562 + 1.1045498698545175im
0.025431769401201423 + 0.04763121086468025im,-1.77844945744125 - 3.0803656615873494im,-0.007263691560074565 + 0.0038783084747116984im,1.3474256823371564 - 1.1045498698545175im
-2.51112090349415 + 1.9072117855573192im,-1.763275866695546 - 3.0648861422754368im,-0.29084707061898535 - 0.38294234771517643im,6.007770933569138 - 1.7657960783292537im
2.8861718837909267 - 2.390270313227323im,-1.7552570369491294 - 3.0603861735367817im,-0.36451280547563386 - 0.44013708601227663im,5.632985743790835 + 4.690279471086753im
-0.5794299438809871 + 3.4704210637518367im,3.531376844302744 - 0.008764575616162031im,0.5292342506743121 + 0.08836223804975192im,-1.1666910685036076 + 6.779639790042782im
-0.051446878020075956 + 0.004015789261615202im,3.5568990377719767 - 9.005324913861263e-7im,-0.0006124021211533445 - 0.007845575346137487im,-0.8199115799197969 + 1.508714489325972im
0.3049414661841056 - 3.0289980122456797im,3.5371004087598417 - 0.004025979518247686im,0.46191786640776755 + 0.04650313762820442im,-5.490681866388349 + 2.658622268312914im
3.644567940769398 + 1.5983154158992405im,-1.7784466522450313 + 3.0803599602391727im,-4.7250047866087817e-32 - 9.146133630612448e-33im,-7.236948380414475 - 1.0033394613425926im
-3.2665671619094736 - 1.1121042173033355im,-1.7750131692408702 + 3.0546376501927557im,0.16959430319961893 - 0.49814682208662864im,-4.9038443730327375 + 5.601990756150742im
0.02764495507676518 - 0.04007018891239978im,-1.7784499169423835 + 3.0803639624949715im,0.006110646522098354 + 0.0042158161261157704im,-1.596113774993845 + 0.5331847400457072im
0.02131198213431912 + 0.04145565431094625im,-1.7784486095434047 - 3.0803642721618387im,0.006321928014621982 - 0.0032500468064376774im,0.26111854806332596 + 1.6389308831678806im
-3.5539169800650012 + 2.1474934831755794im,-1.7784466522450313 - 3.0803599602391727im,-1.7794471621281952e-33 + 1.635139339224112e-32im,-2.4881395565067894 + 6.980173416005528im
3.5940394584525683 - 1.6640639021384778im,-1.7669286765419174 - 3.048172958932724im,0.2537673660182132 + 0.5480858791329853im,-6.561401730105412 + 1.7872454596360967im
-0.604860363663513 + 3.615322833515756im,3.52920487654889 - 0.009531168292302977im,-0.5513315634019741 - 0.09224034070954507im,0.44211908448133164 + 7.336831038962377im
-0.0514443160672865 + 0.004012952243589255im,3.55689903724712 - 8.998514828665296e-7im,0.0006119694799603796 + 0.007845184651999834im,-0.8187954270504977 + 1.5078106852097823im
0.3578891901735916 - 3.015201787791106im,3.5568933044900626 - 6.859519295787915e-33im,-5.390153005024061e-33 + 1.8763567079209697e-34im,-5.908664316697887 + 3.107862658456713im
3.632717968107548 + 1.5089807449836228im,-1.7696529481815586 + 3.0478040810396068im,-0.2301174062694312 + 0.5539842965579655im,-7.814010753197806 - 0.1830580959549135im
-3.137333480047051 - 1.1600050816903043im,-1.7739680661447284 + 3.056390777361807im,-0.17689911653632767 + 0.47843887036379057im,-3.384433633168425 + 5.570567101757505im
0.027645618352589794 - 0.04006887038232511im,-1.7784466522450315 + 3.080359960239173im,-4.9809681148753235e-31 + 1.4490586774853252e-31im,-1.5967542644475874 + 0.5331941747664767im
0.02131221468232986 + 0.041457022120018096im,-1.7784466522450313 - 3.0803599602391727im,1.0142941204552384e-31 - 5.45684081361811e-31im,0.26153717448086544 + 1.6385209997909247im
-3.474999330999539 + 2.067780061135432im,-1.7598226036643279 - 3.049978957983794im,0.3153335030854192 + 0.5299324298841873im,-2.3252205218143804 + 5.913690973873472im
3.644567940769398 - 1.5983154158992403im,-1.7784466522450313 - 3.0803599602391727im,-1.6003003767942e-33 + 4.582737460393645e-33im,-7.236948380414475 + 1.0033394613425923im
-0.5981674648856059 + 3.568545375660516im,3.556893304490063 + 1.7634068528416163e-32im,3.635267218195596e-33 + 8.750214812455377e-34im,-0.3916346613721837 + 7.067171638694606im
