,Parameters,Minima Found,Cost Function Values,Other Info
32,"[ 1.14486444e+05  1.90487090e+05  1.97069888e+05  6.13133258e+00
  3.84831434e-01  2.89987632e+00 -1.04096483e+01  8.48424382e+00
  4.18264990e+00 -1.14295729e+01  2.94456522e+00  5.81477010e+00
 -1.38515161e+05 -1.79015823e+04 -7.45859937e+04]",0,4.964434306248572,
33,"[ 8.72133733e+04  6.70606019e+04  7.45849272e+04  3.47950101e+00
  5.19456458e+00  9.42471938e-01 -1.05955729e+01 -4.89391068e+00
  1.37444911e+00  6.72386259e+00  2.95052895e+00  5.99705360e-01
  4.88307497e+04 -7.19888163e+04 -1.85451100e+05]","[array([-179.15627,  163.15839, -239.20219]), array([-166.24106, -191.27448, -296.95721]), array([ 179.15627, -163.15839,  239.20219])]",4.966076942562306,
34,"[ 1.27543018e+05  4.44394972e+04  1.35439199e+05  3.06217087e+00
  6.45311404e+00  1.55314024e+00  3.79754390e+00  4.20782844e+00
 -3.90919991e+00 -4.46889341e+00 -1.11450589e+01  6.70144271e+00
 -5.17391027e+04 -2.86994528e+04 -2.90439705e+05]",0,4.970494861270822,
35,"[ 1.24357367e+05  1.42147504e+05  3.95198059e+04  1.29885849e+00
  3.18914583e+00  1.38517519e+00 -9.89993434e-01 -4.32739045e-01
  4.49831834e-01 -1.15429826e+01  3.16310928e+00 -1.08597295e+01
 -1.38324298e+05 -6.33333008e+04 -1.90269854e+05]",0,4.98194844991551,
36,"[ 7.45420974e+04  1.74538462e+05  1.39063188e+05  3.81129814e+00
  4.72177108e+00  4.35645759e+00  1.08187320e+01 -4.36362693e+00
  6.80548007e+00  7.39972178e+00  6.16467312e+00  4.12671692e+00
 -7.71751202e+04  3.86553792e+03 -6.34502591e+04]","[array([ -23.85176, -124.85087, -112.03836]), array([  -3.74868, -127.80437,  112.68107]), array([   3.74868,  127.80437, -112.68107]), array([ 23.85176, 124.85087, 112.03836])]",5.033483472403954,
37,"[ 8.25104578e+04  6.35344069e+04  1.19691735e+05  2.88426782e+00
  6.26609102e+00  1.97440190e+00  7.97953703e+00  3.10137284e+00
  8.34258938e+00 -6.22401799e+00 -4.58678642e+00  1.99181446e-01
 -2.55864746e+04 -4.17930105e+04 -2.67170963e+05]","[array([ -90.87017, -109.304  , -190.13921])]",5.033907508117629,
38,"[ 1.32181438e+04  1.95465795e+05  1.53049141e+05  2.98228352e+00
  2.84422024e+00  4.06606144e+00  5.22558910e+00  4.43460246e+00
 -3.22482749e+00 -5.22507741e+00  7.27292851e+00 -1.16545636e+01
 -5.17059016e+04  1.79595877e+04 -1.03997026e+05]",0,5.033907508117629,
39,"[ 1.50571295e+05  1.26774067e+04  1.94233256e+05  5.19795766e+00
  1.55655116e+00  4.15335915e+00  9.36168312e+00  2.52118045e+00
 -5.29669428e-01 -5.50320333e+00  5.64053039e+00 -4.81049873e+00
  9.99046563e+04 -4.56677096e+04 -3.49672766e+05]","[array([-285.8101 ,    6.69117, -308.67795]), array([285.8101 ,  -6.69117, 308.67795])]",5.038618339235801,
40,"[ 1.68848813e+05  1.35822609e+05  1.99107668e+04  1.45995500e+00
  6.44589598e-01  3.69595013e+00 -6.74164038e+00  4.84730698e+00
 -5.74534353e-01  1.16254123e+01 -2.33499060e+00 -4.82186270e+00
 -7.67605889e+04 -2.74583589e+04 -2.34024773e+05]",0,5.076331398180096,
41,"[ 6.43656079e+04  1.86015810e+05  5.14171552e+04  1.92892002e+00
  4.29713183e+00  2.93584204e+00 -3.02235133e-01  9.22066391e-03
  5.37873273e+00 -1.15759996e+01 -1.07465316e+01  7.74452208e+00
 -1.67832344e+04  6.55681374e+03 -7.35490734e+04]",0,5.080900600303298,
42,"[ 1.75045420e+05  5.68771305e+04  1.23450619e+04  1.37866027e+00
  5.58032262e+00  6.08439238e+00  2.69130873e+00 -7.95629342e+00
 -3.52839959e+00  5.68068249e+00 -2.01219005e+00 -1.00200526e+01
  1.30335781e+05 -4.60558340e+04 -1.84212864e+05]",0,5.096408249232274,
43,"[ 1.42187265e+05  1.07122049e+05  5.00509756e+04  1.48228521e+00
  2.21452759e+00  3.58953403e+00 -1.59880013e-01 -7.39033739e+00
  2.26558411e+00 -2.09242104e+00  3.29434298e+00 -1.26479682e+00
  7.35706989e+04 -7.85095115e+04 -4.18818775e+04]","[array([-470.92574,  529.09759,  373.9526 ]), array([-447.75691,  471.35306, -319.06025]), array([-405.36033, -465.47795, -344.25809]), array([ 447.75691, -471.35306,  319.06025]), array([ 470.92574, -529.09759, -373.9526 ])]",5.098267902028381,
