,Roots,Accuracy,Paths,Other Info
64,"[3.7592810089129225e-17, 7.474910929462114e-62, -8.666666666666666, (-1.4120943099333849e-05+0.00019801340316273158j)]","[4.0137774458089725e-17, 1.604785424878273e-61, 1.6147549059624486e-26, 3.364006027333756e-10]",-,
65,"[-4.707576607668703, 5.499587225057188, (0.017748911729640292-14.134031381907134j), -0.33087539310099395]","[1.865174681370263e-14, 9.432143337477522e-31, 3.6379857459789994e-12, 2.220446049250313e-16]",-,
66,"[-9.239104527198673e-18, -6.172119034743869e-65, -8.666666666666666, (0.0001604393618599687-7.792806209083497e-05j)]","[1.0201318784994091e-17, 2.889290782164932e-63, 1.5236405917325445e-28, 2.4399846849444127e-10]",-,
67,"[4.330322578904308e-17, 1.4463648790341325e-61, -8.666666666666666, (-1.423455768077316e-05+0.00020115738406481832j)]","[4.590918250274088e-17, 3.6638592418805e-61, 1.9362992835849453e-26, 3.526389748504699e-10]",-,
68,"[-4.707576607668704, 5.499587225057188, -0.035497823459280556, -0.330875393100994]","[5.329070518200751e-15, 2.842170943040401e-14, 1.3096452844882344e-30, 6.792487706675094e-34]",-,
69,"[-7.258000438925987e-16, 2.7107454550363133e-57, -8.666666666666666, (0.00027779929321265523-0.00013498298227944134j)]","[7.761730589169772e-16, 1.575783862950969e-56, 1.1789468410023584e-24, 1.2668996348569585e-09]",-,
70,"[1.3299194068902971e-15, 1.8718829955806314e-57, -8.666666666666666, (-2.1662836540555767e-05+0.0003040020107148261j)]","[1.3417990409339634e-15, 5.654565976127301e-56, 2.4757692864512364e-24, 1.2172992675045863e-09]",-,
71,"[-4.707576607668704, 5.499587225057188, (0.01774891172964028+14.134031381907137j), -0.330875393100994]","[5.329070518200751e-15, 2.842170943040401e-14, 3.63800656256145e-12, 2.7263418974331423e-33]",-,
72,"[-9.148309511288053e-16, -1.414213562373097, 3.206580549189163, (0.0002850539755666765-0.00013864995649595044j)]","[9.764795701986631e-16, 2.130814627391511e-16, 2.3092638912203493e-14, 1.369572945431216e-09]",-,
73,"[1.7650071543237036e-15, -1.4142135623730914, 3.206580549189168, (-2.2217785956997937e-05+0.00031352567355874897j)]","[1.7747013068182374e-15, 3.2163840692863843e-16, 3.5527136787995354e-15, 1.3352143054401792e-09]",-,
74,"[-4.707576607668703, -5.499587225057188, 14.045454435445597, -0.33087539310099395]","[1.865174681370263e-14, 3.812486765070943e-31, 3.637978807091713e-12, 2.220446049250313e-16]",-,
75,"[-9.168611597233065e-16, -1.4142135623730971, (-1.6032902745945816+2.4555322434228475j), (0.00028512559273497195-0.0001386852240930863j)]","[9.786295074205483e-16, 2.1378085593817013e-16, 3.021112489366631e-14, 1.3706079389260046e-09]",-,
76,"[1.7686963156708446e-15, -1.4142135623730914, (-1.6032902745945843+2.4555322434228506j), (-2.2222545903116024e-05+0.00031359757548685j)]","[1.7783749091134557e-15, 3.5294197899409527e-16, 1.6011864169947714e-14, 1.3361328418619143e-09]",-,
77,"[-4.707576607668703, -5.499587225057188, -0.03603949681390415, -0.33087539310099395]","[1.865174681370263e-14, 3.389314493902851e-30, 1.4210854715202004e-14, 2.220446049250313e-16]",-,
78,"[-9.167779799841725e-16, -1.4142135623730971, (-1.6032902745945812-2.4555322434228484j), (0.00028512266103308706-0.00013868378051139365j)]","[9.785414228519648e-16, 2.1448665942935683e-16, 2.3313626137889542e-14, 1.3705655611682944e-09]",-,
79,"[1.7683168664820733e-15, -1.4142135623730914, (-1.6032902745945838-2.4555322434228506j), (-2.2222056700010083e-05+0.0003135901869762501j)]","[1.7779970603697453e-15, 3.4972224586014403e-16, 9.272854936268372e-15, 1.3360384352536483e-09]",-,
80,"[-4.707576607668703, -5.499587225057188, -14.009414938631695, -0.33087539310099395]","[1.865174681370263e-14, 1.7878720443545142e-30, 3.492170470647897e-28, 2.220446049250313e-16]",-,
