,Roots,Real Roots,Accuracy,Paths,Other Info
43,"[ 0.24720442+1.41538525j  1.25155417+2.10917038j -1.28941221+0.7210142j
 -0.13783752+2.14252186j]",,"[1.887379141862766e-15, 2.75764738977458e-14, 1.897149936107019e-15, 3.972054645195637e-15]",-,
44,"[ 0.4572116 +1.26731018j  1.15127156+2.10173677j -1.68388202-0.01648172j
 -1.73223014-1.23483272j]",,"[2.401779625492033e-15, 1.2434497875801753e-14, 2.808666774861361e-15, 7.021666937153402e-15]",-,
45,"[ 1.35279848+0.80133015j -2.39438112+0.06149395j  0.01200071-1.26657013j
  1.88116541-2.01899722j]",,"[3.3009303617866928e-15, 1.0593180059249863e-14, 1.9860273225978185e-15, 1.0632667985011394e-14]",-,
46,"[ 0.74788497+1.30844751j -2.36050354-0.02371804j  1.32221731+0.34097196j
  0.38366145+2.24919363j]",,"[2.3714374201337737e-15, 7.755684626330685e-15, 1.831026719408895e-15, 7.350984424391015e-15]",-,
47,"[ 1.68692853+0.47536658j -2.32674792-0.0412294j   1.10336046-1.1460124j
 -2.79713083-0.24633278j]",,"[3.2568776092612292e-15, 6.466036496704424e-15, 8.881784197001252e-16, 1.6146780768176188e-14]",-,
48,"[ 0.83738387+1.39578908j -2.44755206-0.09833399j  1.63005786+1.39137486j
  2.35658844-1.25435024j]",,"[3.1791949213824896e-15, 9.057678187205881e-15, 1.1382899616642114e-14, 1.3113797212790068e-14]",-,
49,"[ 0.61804388+1.0527447j  -2.3876198 +0.00672901j  0.36960048+0.7419707j
  0.57386286+1.92127997j]",,"[1.9100999153570945e-15, 2.858517074269873e-14, 8.005932084973442e-16, 6.5002586283855235e-15]",-,
50,"[ 0.14346262+0.83658713j -2.42899645+0.01633109j  0.96852621+1.37365245j
 -1.5323157 -0.09725831j]",,"[1.247535165059216e-15, 9.041333491445128e-15, 2.7012892057857038e-15, 4.318467880798754e-15]",-,
51,"[ 1.32839331+1.46807684j -2.29031001+0.04263457j -1.96173903-0.00968j
  2.36004076-1.34002359j]",,"[4.849527372528318e-15, 1.1030947132061738e-14, 6.4047456679787536e-15, 1.7325171700061012e-14]",-,
52,"[ 0.67372841+1.32583667j -2.45329682+0.00870314j -1.41090763-0.77438721j
  0.37893132+1.58681079j]",,"[3.59796202233893e-15, 1.6443673592483703e-14, 2.651202354599825e-15, 5.420799638382024e-15]",-,
53,"[ 0.92066802+1.07021666j -2.42022285-0.05412394j -1.83016386-0.45983581j
 -1.72623229-0.5388114j ]",,"[2.7844251801988247e-15, 2.951189155527943e-14, 4.782987168225453e-15, 4.5288390936029406e-15]",-,
54,"[-1.17873776+0.13251347j  1.25242031-2.10389952j  0.36376756-1.38819408j
  1.42631317-2.18597316j]",,"[2.220446049250313e-15, 9.930136612989092e-15, 3.794299872214038e-15, 1.6172714487288203e-14]",-,
55,"[-1.76326637-0.23255773j  1.06738629-2.04127388j  1.94395475-0.99199967j
  1.61640833+2.6622884j ]",,"[4.265337574760008e-15, 2.1482170038296686e-14, 8.379058453350832e-15, 2.109774314401794e-14]",-,
56,"[-0.72165929+0.51955741j  1.16883637-2.10046849j  0.95829244-1.57676864j
 -2.0301095 +0.2274158j ]",,"[6.938893903907228e-16, 6.049442158684427e-15, 5.0242958677880805e-15, 5.009554625647218e-15]",-,
57,"[-1.73205749-0.2293613j   1.20772131-1.97479756j  1.61757678+0.45682856j
  1.91818944-2.56916719j]",,"[4.242156220644677e-15, 1.2560739669470201e-14, 4.440892098500626e-15, 2.5003445110377325e-14]",-,
58,"[-1.26795135-0.71881351j  1.25895998-2.10765321j -0.60570559+1.09742203j
  0.88023477+2.65748998j]",,"[1.2994827337208943e-15, 1.342589724536134e-14, 4.440892098500626e-16, 2.1868857395626284e-14]",-,
59,"[-0.79833729-1.27208602j  1.20707545-2.03529942j  0.60326575+1.14104161j
 -2.01761775-1.09228428j]",,"[1.3322676295501878e-15, 3.265792314062252e-14, 2.9790409838967277e-15, 1.0264610789191249e-14]",-,
60,"[-1.84639211+0.30771844j  1.06152065-2.15759027j -1.90295056+1.25252685j
  1.87220817-2.66146345j]",,"[5.773159728050814e-15, 2.0253584144909416e-14, 2.5121479338940403e-15, 2.871509813986821e-14]",-,
61,"[-1.71002572-0.81762863j  1.25197939-2.00877984j -1.26560318-0.53103256j
  0.8928994 +2.87053716j]",,"[4.463041323674983e-15, 1.831026719408895e-14, 3.580361673049448e-15, 2.05051911106139e-14]",-,
62,"[-1.38827338-0.25675827j  1.14322078-2.02983854j -1.97311618+0.15100928j
 -2.50263706-0.46089552j]",,"[2.865687575934818e-15, 1.502702346173435e-14, 5.420799638382024e-15, 1.0126792072454708e-14]",-,
63,"[-1.26795135+0.71881351j  1.25895998+2.10765321j -0.60570559-1.09742203j
  0.88023477-2.65748998j]",,"[1.6946818973100072e-15, 1.971075837763094e-14, 9.930136612989092e-16, 1.4238583238573986e-14]",-,
64,"[-1.73205749+0.2293613j   1.20772131+1.97479756j  1.61757678-0.45682856j
  1.91818944+2.56916719j]",,"[4.3737714791252564e-15, 2.1111760027289807e-14, 2.5121479338940403e-15, 2.1972320632906738e-14]",-,
65,"[-0.79833729+1.27208602j  1.20707545+2.03529942j  0.60326575-1.14104161j
 -2.01761775+1.09228428j]",,"[1.7342238036525468e-15, 1.888293221827313e-14, 2.9790409838967277e-15, 6.173478961128007e-15]",-,
66,"[-1.76326637+0.23255773j  1.06738629+2.04127388j  1.94395475+0.99199967j
  1.61640833-2.6622884j ]",,"[4.021398830883446e-15, 1.3873790429220374e-14, 4.884981308350689e-15, 2.5757174171303632e-14]",-,
67,"[-1.17873776-0.13251347j  1.25242031+2.10389952j  0.36376756+1.38819408j
  1.42631317+2.18597316j]",,"[1.9860273225978185e-15, 1.5280799322856756e-14, 2.2644195468014703e-15, 1.1243440757244517e-14]",-,
68,"[-0.72165929-0.51955741j  1.16883637+2.10046849j  0.95829244+1.57676864j
 -2.0301095 -0.2274158j ]",,"[5.551115123125783e-16, 9.42055475210265e-15, 4.577566798522238e-15, 5.296590029624932e-15]",-,
69,"[-1.71002572+0.81762863j  1.25197939+2.00877984j -1.26560318+0.53103256j
  0.8928994 -2.87053716j]",,"[4.3751803280840456e-15, 3.30540822551633e-14, 2.8435583831733384e-15, 2.1334777765716796e-14]",-,
70,"[-1.84639211-0.30771844j  1.06152065+2.15759027j -1.90295056-1.25252685j
  1.87220817+2.66146345j]",,"[5.2404408462462845e-15, 5.329070518200751e-15, 9.493542985708791e-15, 2.4629941861785993e-14]",-,
71,"[-1.38827338+0.25675827j  1.14322078+2.02983854j -1.97311618-0.15100928j
 -2.50263706+0.46089552j]",,"[2.1362779772819814e-15, 1.882016329483446e-14, 6.661338147750939e-15, 1.1417498175509914e-14]",-,
72,"[-1.67292519+0.34502617j -2.54351307-0.03616937j -0.16725973-2.25657575j
  1.73950891-2.79357778j]",,"[4.213000162292041e-15, 1.2442425513123379e-14, 9.441466109136565e-15, 2.754158790223576e-14]",-,
73,"[-2.18535124-0.0353522j  -2.27106063+0.05539572j  1.229114  -1.00980308j
  1.83088438+3.02955505j]",,"[7.259873912822375e-15, 7.32410687763558e-15, 3.76822190084106e-15, 3.4368363220734825e-14]",-,
74,"[-1.30571859+0.69024493j -2.3819822 +0.08365886j  0.48969   -1.84366648j
 -2.67489732+0.3574972j ]",,"[2.5121479338940403e-15, 2.385300668449692e-14, 5.3705425095741715e-15, 1.1102230246251565e-14]",-,
75,"[-2.18535124+0.0353522j  -2.27106063-0.05539572j  1.229114  +1.00980308j
  1.83088438-3.02955505j]",,"[7.444291678311382e-15, 1.0048591735576161e-14, 2.808666774861361e-15, 2.935739982004867e-14]",-,
76,"[-1.67292519-0.34502617j -2.54351307+0.03616937j -0.16725973+2.25657575j
  1.73950891+2.79357778j]",,"[3.972054645195637e-15, 9.769962616701378e-15, 6.936895214610187e-15, 2.4681933353303714e-14]",-,
77,"[-1.30571859-0.69024493j -2.3819822 -0.08365886j  0.48969   +1.84366648j
 -2.67489732-0.3574972j ]",,"[1.4228624520802642e-15, 1.551136925266137e-14, 4.782987168225453e-15, 1.6011864169946884e-14]",-,
78,"[-2.18810321+0.54983326j -2.29104404+0.12961848j -0.97043552+1.44013375j
  1.54056642-3.39281951j]",,"[8.484312441289354e-15, 1.0048591735576161e-14, 4.440892098500626e-16, 3.412559027082929e-14]",-,
79,"[-2.18810321-0.54983326j -2.29104404-0.12961848j -0.97043552-1.44013375j
  1.54056642+3.39281951j]",,"[8.78410253195682e-15, 1.517719948885615e-14, 6.169484474161015e-15, 3.393216460788558e-14]",-,
80,"[-1.88698227+5.56965618e-16j -2.29332396-1.18605127e-17j
 -1.58090453+4.15402409e-16j -3.24933176+9.67438151e-16j]",,"[5.345500965884104e-15, 1.444862834523734e-14, 2.9273006487346087e-15, 2.059245038123169e-14]",-,
