,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
26,"[(3.632717968107547-1.508980744983623j), (-1.7696529481815586-3.0478040810396068j), (-7.814010753197806+0.18305809595491393j), (-0.23011740626943117-0.5539842965579654j)]","[-5.1450e-02+0.00402j  3.5569e+00+0.j      -8.1991e-01+1.50871j
 -6.1000e-04-0.00785j]",,"[8.899114524108741e-16, 1.2667130965401374e-13, 1.749298380834591e-15, 3.6095924966790976e-14]",-,
27,"[(0.38612422801417207+4.091622879771145j), (3.5207329883211265+0.006885685212690847j), (6.656510418469911-4.863819752161951j), (0.6239666395052744-0.0588833927429419j)]","[-5.1440e-02-0.00401j  3.5569e+00+0.j      -8.1880e-01-1.50781j
  6.3000e-04-0.00783j]",,"[1.0876775687115126e-11, 4.528516580076217e-07, 3.504189993309113e-10, 1.273159928477317e-07]",-,
28,"[(0.3146708797220866+4.088655333527446j), 3.5568933044900626, (6.2943190741766974-3.852174746114944j), 0.0]","[-5.1440e-02+0.00401j  3.5569e+00+0.j      -8.1880e-01+1.50781j
  6.1000e-04+0.00785j]",,"[1.8875832159447664e-16, 6.103895600767517e-15, 6.87951285550642e-16, 3.788046498485219e-21]",-,
29,"[(0.24054115104013213+4.018697691901021j), (3.521823140021072+0.004213098386892783j), (5.856147014136311-2.8762628813907694j), (-0.612845652613844+0.036682181639779265j)]",[-0.04589+0.j  3.55689+0.j  1.65067+0.j  0.     +0.j],,"[4.718584317549916e-16, 4.493053124138742e-14, 6.814318744998734e-17, 7.329179600985237e-19]",-,
30,"[(-0.5794299438809866+3.470421063751837j), (3.5313768443027445-0.008764575616162023j), (-1.1666910685036074+6.779639790042783j), (0.5292342506743122+0.08836223804975181j)]",[-0.04589-0.j       3.5569 +0.j       1.65067-0.00057j  0.     -0.007j  ],,"[1.218421919492776e-13, 9.778245103748533e-09, 4.738312315129927e-12, 2.4722883815029253e-09]",-,
31,"[(-0.5981674648856051+3.5685453756605154j), 3.5568933044900626, (-0.3916346613721832+7.067171638694606j), -3.2385632081604167e-78]",[-0.04589+0.j       3.5569 +0.j       1.65067+0.00057j  0.     +0.007j  ],,"[3.608224830031759e-16, 3.9668789086900315e-15, 4.826933716958878e-16, 6.77883037344516e-21]",-,
32,"[(-0.6048603636635125+3.6153228335157555j), (3.52920487654889-0.00953116829230297j), (0.44211908448133136+7.3368310389623765j), (-0.551331563401974-0.092240340709545j)]",[ 0.02131-0.04146j -1.77845+3.08036j  0.26112-1.63893j  0.00632+0.00325j],,"[2.587826037936727e-15, 1.419634218176978e-10, 8.125680154004698e-14, 3.6586285499482965e-11]",-,
33,"[(0.3049414661841054+3.02899801224568j), (3.5371004087598417+0.004025979518247681j), (-5.490681866388349-2.6586222683129144j), (0.4619178664077676-0.046503137628204363j)]",[ 0.02131-0.04146j -1.77845+3.08036j  0.26154-1.63852j  0.     +0.j     ],,"[6.329245045284193e-16, 1.464821375527116e-14, 9.917189348136498e-16, 4.1803270690531326e-21]",-,
34,"[(0.35788919017359117+3.015201787791107j), 3.5568933044900626, (-5.908664316697888-3.1078626584567135j), 0.0]",[ 0.02131-0.04146j -1.77845+3.08036j  0.26196-1.63811j -0.00632-0.00325j],,"[6.261943282059023e-16, 5.113867055558122e-15, 4.5617373175347045e-16, 8.470329472543003e-22]",-,
35,"[(0.401477139730463+2.957019796019218j), (3.5381880144504785+0.005174551555773433j), (-6.3093673061545-3.5051187064582168j), (-0.45094129133814104+0.061224689830118965j)]",[ 0.02131+0.04146j -1.77845-3.08036j  0.26112+1.63893j  0.00632-0.00325j],,"[6.77599954797753e-16, 1.945153322074105e-14, 1.1398879048507022e-15, 3.618526336874044e-21]",-,
