,Whole Generation
513,"[ 4.13446e+05  1.31204e+05  2.68947e+05  2.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.02920e+04]"
514,"[ 4.49753e+05 -2.22264e+05  1.60046e+05  2.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00 -2.80000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.88000e+02 -1.37650e+04]"
515,"[-3.19964e+05  1.31204e+05  1.60046e+05  2.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  6.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.27000e+02 -9.80600e+03]"
516,"[ 2.40291e+05  1.31204e+05  1.60046e+05 -3.00000e+00  0.00000e+00
  1.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -4.20000e+01
  4.00000e+00  0.00000e+00  1.90970e+04 -4.20000e+01 -4.72600e+03]"
517,"[ 2.51580e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  5.40000e+01
  6.00000e+00  0.00000e+00 -5.77300e+03 -5.10000e+01 -9.80600e+03]"
518,"[ 2.51398e+05  1.03268e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00  1.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -3.12300e+03 -1.08000e+02 -9.80600e+03]"
519,"[ 2.51398e+05  1.31229e+05 -1.85950e+04  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.10000e+01
  6.00000e+00  0.00000e+00  2.82280e+04 -1.08000e+02 -3.12400e+03]"
520,"[-2.08919e+05 -5.44510e+04  3.11528e+05  4.00000e+00  1.00000e+00
  3.00000e+00 -9.00000e+00  7.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.77000e+02  2.79000e+03]"
521,"[ 7.26390e+04  1.31229e+05 -6.89870e+04  2.00000e+00  1.00000e+00
 -2.00000e+00 -1.20000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
522,"[-3.57762e+05  7.92610e+04  1.60046e+05 -1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.40000e+01  0.00000e+00  3.20000e+01
  1.00000e+00  0.00000e+00  1.90970e+04 -1.37000e+02 -9.80600e+03]"
523,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -3.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
524,"[ 2.51398e+05 -5.94470e+04  1.60046e+05  0.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.87000e+02 -9.80600e+03]"
525,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  4.00000e+00  0.00000e+00 -3.80000e+01
  8.00000e+00  0.00000e+00 -3.20120e+04 -1.08000e+02 -9.80600e+03]"
526,"[ 3.06872e+05  1.31229e+05 -2.95205e+05 -1.10000e+01 -1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  2.10000e+01
 -9.00000e+00  0.00000e+00  3.04120e+04 -1.08000e+02  3.68600e+03]"
527,"[ 1.53369e+05 -4.33729e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  4.00000e+00  0.00000e+00 -6.38200e+03  6.30000e+01 -9.80600e+03]"
528,"[-1.80155e+05  1.31229e+05  1.66696e+05  6.00000e+00  1.00000e+00
  4.00000e+00  1.20000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.48460e+04 -1.73000e+02 -9.80600e+03]"
529,"[-1.58381e+05  1.31229e+05 -2.70882e+05 -3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  2.39900e+03]"
530,"[ 2.51398e+05  2.18810e+05  1.60046e+05  1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  5.70000e+01
  6.00000e+00  0.00000e+00  2.86500e+04 -1.08000e+02 -9.80600e+03]"
531,"[-5.29500e+03  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -6.00000e+00  2.00000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.43270e+04]"
532,"[ 2.51398e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
533,"[ 2.51398e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
 -5.00000e+00 -9.00000e+00  1.50000e+01  0.00000e+00  1.00000e+01
  6.00000e+00  0.00000e+00  3.34800e+04 -1.08000e+02 -9.80600e+03]"
534,"[ 2.51398e+05  1.01588e+05  2.12189e+05  5.00000e+00  0.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -4.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -5.90000e+01 -2.03600e+03]"
535,"[ 2.51398e+05  1.31229e+05  1.52420e+04  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.70000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
536,"[ 5.08520e+04 -1.87296e+05  1.26590e+04  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.30000e+01  0.00000e+00  7.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -1.90000e+02 -9.80600e+03]"
537,"[ 2.51398e+05  1.31229e+05 -2.63856e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -7.10000e+01 -9.80600e+03]"
538,"[ 5.63950e+04 -2.45721e+05  2.94622e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -2.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
539,"[ 1.26782e+05  1.31229e+05  1.60046e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -1.00000e+00  0.00000e+00  1.34480e+04 -1.08000e+02 -9.80600e+03]"
540,"[ 2.51398e+05  1.36668e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.30000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.31000e+02 -9.80600e+03]"
541,"[ 2.51398e+05 -3.29440e+05  1.84340e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  9.00000e+00  0.00000e+00  3.20000e+01
  7.00000e+00  0.00000e+00  2.42090e+04 -1.08000e+02 -9.80600e+03]"
542,"[ 1.05391e+05  2.44563e+05  1.60046e+05  1.00000e+01  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  7.60000e+01 -1.50760e+04]"
543,"[ 3.72636e+05  1.31229e+05  1.60046e+05  4.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -2.00000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.06000e+02]"
544,"[ 1.56500e+04  5.61080e+04  1.60046e+05  4.00000e+00  1.00000e+00
  3.00000e+00 -3.00000e+00  1.90000e+01  0.00000e+00  6.00000e+00
  1.00000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
545,"[-9.55490e+04  1.31229e+05  1.60046e+05  8.00000e+00  0.00000e+00
 -6.00000e+00 -9.00000e+00 -1.50000e+01  0.00000e+00  3.20000e+01
 -1.00000e+00  0.00000e+00  2.01220e+04 -1.08000e+02  4.97900e+03]"
546,"[-1.04733e+05  1.31229e+05  1.60046e+05  9.00000e+00 -1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -9.00000e+00  0.00000e+00 -3.09700e+03  1.50000e+01 -9.80600e+03]"
547,"[ 2.51398e+05  1.31229e+05  8.20280e+04  9.00000e+00  1.00000e+00
  0.00000e+00  8.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
548,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  9.00000e+00  6.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  4.30000e+01 -9.80600e+03]"
549,"[ 2.84638e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00 -5.57800e+03  4.80000e+01 -9.80600e+03]"
550,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  0.00000e+00
 -7.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -1.11070e+04 -1.08000e+02  7.69700e+03]"
551,"[ 2.50619e+05 -1.92300e+03  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -5.00000e+00  8.00000e+00  0.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  1.90970e+04 -1.97000e+02  1.22440e+04]"
552,"[ 2.50619e+05  1.31229e+05  2.63805e+05  0.00000e+00  1.00000e+00
 -3.00000e+00  1.50000e+01 -7.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
553,"[-3.64987e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00  7.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  9.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
554,"[-1.34071e+05  1.31229e+05  1.29251e+05  1.00000e+00  0.00000e+00
  0.00000e+00 -9.00000e+00 -8.00000e+00  0.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  1.73320e+04 -1.08000e+02 -1.46110e+04]"
555,"[ 2.32079e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -8.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
556,"[ 2.50619e+05  4.53170e+04  1.00544e+05  0.00000e+00  0.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -1.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
557,"[ 1.48640e+04 -2.27900e+03  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00  0.00000e+00 -1.10000e+01  0.00000e+00  3.50000e+01
  6.00000e+00  0.00000e+00  1.86350e+04 -1.08000e+02 -1.82880e+04]"
558,"[ 4.74071e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00  1.20000e+01  1.10000e+01  0.00000e+00  3.60000e+01
  7.00000e+00  0.00000e+00  3.59280e+04 -1.08000e+02  1.02860e+04]"
559,"[ 2.50619e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  0.00000e+00 -1.00000e+00  1.10000e+01  0.00000e+00 -3.40000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
560,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -2.62600e+03]"
561,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -6.21300e+03]"
562,"[ 3.81218e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.70000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -6.08300e+03]"
563,"[ 2.50619e+05  1.31229e+05  2.00109e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
564,"[ 2.50619e+05  1.46506e+05 -1.95198e+05  1.00000e+00 -1.00000e+00
  4.00000e+00  1.30000e+01 -1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.60000e+01 -9.80600e+03]"
565,"[ 2.50619e+05  2.58170e+04  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  8.00000e+00
 -2.00000e+00  0.00000e+00 -1.46210e+04 -1.14000e+02  1.97160e+04]"
566,"[-5.00965e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  0.00000e+00  1.60000e+01  1.10000e+01  0.00000e+00 -1.10000e+01
  6.00000e+00  0.00000e+00  2.97960e+04  8.00000e+00 -9.80600e+03]"
567,"[ 2.50619e+05 -5.39200e+03  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -1.70000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  9.70000e+01 -9.80600e+03]"
568,"[ 2.50619e+05  1.31229e+05  1.50181e+05  1.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00  5.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -8.00000e+00 -9.80600e+03]"
569,"[-9.22950e+04  1.31229e+05 -1.33135e+05  0.00000e+00  0.00000e+00
 -3.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -4.82600e+03 -1.08000e+02  3.35170e+04]"
570,"[-5.76070e+04  1.31229e+05 -1.86806e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -4.60000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
571,"[ 2.33085e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  0.00000e+00  5.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  1.30000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -6.37400e+03]"
572,"[ 1.97156e+05  1.31229e+05 -2.04780e+04  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.78000e+02  1.07040e+04]"
573,"[ 2.40291e+05  6.36840e+04  2.40831e+05  0.00000e+00  1.00000e+00
  6.00000e+00 -1.30000e+01 -1.70000e+01  0.00000e+00  1.10000e+01
 -2.00000e+00  0.00000e+00 -3.44410e+04 -9.30000e+01 -9.80600e+03]"
574,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  0.00000e+00
 -5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.87000e+04 -1.08000e+02 -9.80600e+03]"
575,"[ 2.40291e+05  1.30515e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -4.70000e+01
  1.00000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -1.48030e+04]"
576,"[ 2.29350e+04  1.31229e+05  1.37497e+05  0.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00 -7.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
577,"[ 2.40291e+05  1.31229e+05 -1.67687e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00 -5.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.89000e+02 -9.80600e+03]"
578,"[ 2.56677e+05  1.31229e+05  1.37497e+05  0.00000e+00  0.00000e+00
  4.00000e+00  1.70000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  0.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
579,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
 -6.00000e+00 -1.70000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  2.00000e+00 -3.72100e+03]"
580,"[-2.99528e+05  1.31229e+05  1.37497e+05  0.00000e+00 -1.00000e+00
 -1.00000e+00  1.30000e+01  1.10000e+01  0.00000e+00  3.20000e+01
 -8.00000e+00  0.00000e+00 -3.77900e+03 -2.05000e+02 -5.19500e+03]"
581,"[ 3.24537e+05  3.51600e+03  2.73373e+05  0.00000e+00 -1.00000e+00
 -1.00000e+00  1.40000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  9.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
582,"[ 2.40291e+05 -2.44984e+05  1.37497e+05  0.00000e+00  0.00000e+00
 -7.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  1.90000e+01
  6.00000e+00  0.00000e+00 -2.36130e+04 -1.08000e+02 -9.80600e+03]"
583,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  7.00000e+00  6.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
 -8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  9.35800e+03]"
584,"[ 2.40291e+05  2.37390e+05  2.02419e+05  0.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00 -2.30000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -4.49100e+03 -1.08000e+02 -3.13400e+03]"
585,"[ 2.40291e+05 -2.43738e+05  2.02419e+05  0.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
586,"[ 2.40291e+05  1.31229e+05 -3.42460e+04  0.00000e+00  1.00000e+00
 -7.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  2.20000e+01
  6.00000e+00  0.00000e+00  1.25690e+04  2.07000e+02 -1.25080e+04]"
587,"[ 4.43547e+05  1.31229e+05  2.02419e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  6.00000e+01
  0.00000e+00  0.00000e+00 -3.44880e+04 -1.08000e+02 -8.58500e+03]"
588,"[ 3.92121e+05  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  6.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -1.83000e+02  1.69830e+04]"
589,"[ 2.40291e+05  1.31229e+05  1.43421e+05  0.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  1.00000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
590,"[ 2.40291e+05  2.53184e+05  2.02419e+05 -1.00000e+00  1.00000e+00
 -1.00000e+00 -1.70000e+01  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.69590e+04 -2.09000e+02 -9.80600e+03]"
591,"[ 2.40291e+05 -2.43739e+05  3.20866e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  5.30000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  2.00000e+01 -9.80600e+03]"
592,"[ 2.40291e+05  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.70000e+01  0.00000e+00  5.70000e+01
  6.00000e+00  0.00000e+00  2.96360e+04 -1.08000e+02 -1.09610e+04]"
593,"[ 4.04530e+04  1.31229e+05  2.02419e+05  0.00000e+00  1.00000e+00
  3.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
 -3.00000e+00  0.00000e+00  2.73650e+04 -1.48000e+02 -9.80600e+03]"
594,"[ 2.40291e+05 -2.56518e+05  2.02419e+05  1.00000e+00  1.00000e+00
  3.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.37000e+02 -4.65000e+02]"
595,"[ 2.29409e+05  1.31229e+05  1.81457e+05  0.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.18290e+04 -1.08000e+02 -9.80600e+03]"
596,"[-4.54057e+05  2.29910e+04  2.02419e+05  1.00000e+00 -1.00000e+00
  4.00000e+00  0.00000e+00  1.20000e+01  0.00000e+00  1.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.42000e+02 -9.80600e+03]"
597,"[ 4.34818e+05 -2.17230e+05  6.90600e+04  1.00000e+00 -1.00000e+00
  4.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.93890e+04]"
598,"[-1.64365e+05  1.13553e+05  2.02419e+05 -1.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00 -1.80000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -8.55800e+03]"
599,"[ 2.40291e+05  1.31229e+05  1.08349e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -2.00000e+00 -1.90000e+01  0.00000e+00 -3.90000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.98000e+02 -9.80600e+03]"
600,"[ 2.40291e+05  1.64151e+05  3.15867e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
601,"[ 2.40291e+05  1.66846e+05  2.02419e+05  1.00000e+00  0.00000e+00
  2.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -2.14000e+02 -9.80600e+03]"
602,"[ 2.40291e+05  1.31229e+05  2.02419e+05  1.00000e+00 -1.00000e+00
  2.00000e+00  2.00000e+00 -1.50000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  3.71280e+04 -1.08000e+02  1.10900e+03]"
603,"[ 5.97590e+04  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  4.00000e+00 -3.00000e+00  1.50000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -3.24510e+04 -1.70000e+02 -9.80600e+03]"
604,"[ 4.80255e+05  1.31229e+05  2.90370e+04  1.00000e+00  1.00000e+00
  1.00000e+00 -3.00000e+00  1.20000e+01  0.00000e+00  2.10000e+01
  5.00000e+00  0.00000e+00  1.90970e+04 -1.70000e+01 -9.80600e+03]"
605,"[ 2.40291e+05  4.86280e+04  3.48610e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
 -7.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
606,"[ 2.40291e+05 -7.09510e+04  2.02419e+05  1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00 -2.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.45000e+02]"
607,"[ 2.40291e+05  1.31229e+05  2.02419e+05  0.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  4.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
608,"[ 2.40291e+05  1.31229e+05  2.02419e+05  1.00000e+00 -1.00000e+00
  3.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -2.99000e+03 -1.08000e+02  1.03600e+03]"
609,"[ 2.40291e+05  1.31229e+05  2.02419e+05  0.00000e+00  1.00000e+00
  3.00000e+00  4.00000e+00  1.20000e+01  0.00000e+00  5.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
610,"[ 2.40291e+05  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  7.00000e+00  0.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
611,"[ 2.40291e+05  1.31229e+05  2.42624e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00 -2.00000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
612,"[ 2.40291e+05  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -1.22080e+04  1.69000e+02  3.61900e+03]"
613,"[ 5.45454e+05  1.31229e+05 -1.96117e+05  1.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -1.78040e+04 -6.60000e+01 -9.80600e+03]"
614,"[ 2.40291e+05  1.10990e+04  2.02419e+05  1.00000e+00  1.00000e+00
  2.00000e+00 -7.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
 -7.00000e+00  0.00000e+00  2.91130e+04 -1.08000e+02 -1.56860e+04]"
615,"[ 2.40291e+05  3.05330e+04 -1.46914e+05  1.00000e+00  0.00000e+00
  2.00000e+00  4.00000e+00  1.20000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.30000e+01 -9.80600e+03]"
616,"[ 1.68493e+05  1.31229e+05  2.02419e+05  1.00000e+00  1.00000e+00
  2.00000e+00  7.00000e+00  1.20000e+01  0.00000e+00  9.00000e+00
 -1.00000e+00  0.00000e+00  7.43200e+03 -4.90000e+01 -1.34330e+04]"
