,Cost Function Values,Minima Found,Other Info,Parameters
20,5.357004529638332,"[array([-119.63302, -129.77753, -104.08127]), array([-119.63302, -129.77753,  104.08127]), array([-119.63302,  129.77753, -104.08127]), array([-119.63302,  129.77753,  104.08127]), array([ 119.63302, -129.77753, -104.08127]), array([ 119.63302, -129.77753,  104.08127]), array([ 119.63302,  129.77753, -104.08127]), array([119.63302, 129.77753, 104.08127])]",,"[5.53058260e+04 1.62572973e+05 8.50219586e+04 1.93214077e+00
 4.82635600e+00 3.92424380e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
21,5.361399421821357,"[array([-140.37948, -122.2745 , -186.66602]), array([-140.37948, -122.2745 ,  186.66602]), array([-140.37948,  122.2745 , -186.66602]), array([-140.37948,  122.2745 ,  186.66602]), array([ 140.37948, -122.2745 , -186.66602]), array([ 140.37948, -122.2745 ,  186.66602]), array([ 140.37948,  122.2745 , -186.66602])]",,"[1.46769573e+05 1.73791619e+05 1.99142439e+05 3.72390681e+00
 5.81201880e+00 2.85761230e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
22,5.376715602470555,"[array([-212.06138, -164.45917,  -65.25801]), array([-212.06138, -164.45917,   65.25801]), array([-212.06138,  164.45917,  -65.25801]), array([-212.06138,  164.45917,   65.25801]), array([ 212.06138, -164.45917,  -65.25801]), array([ 212.06138, -164.45917,   65.25801]), array([212.06138, 164.45917, -65.25801])]",,"[1.88289515e+05 1.48609248e+05 2.50301833e+04 2.09349998e+00
 2.74725926e+00 2.93877505e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
23,5.376715602470555,"[array([-143.16725,  -71.52201, -106.40012]), array([-143.16725,  -71.52201,  106.40012]), array([-143.16725,   71.52201, -106.40012]), array([-143.16725,   71.52201,  106.40012]), array([ 143.16725,  -71.52201, -106.40012]), array([143.16725, -71.52201, 106.40012]), array([ 143.16725,   71.52201, -106.40012])]",,"[4.09974821e+04 5.10896732e+04 1.50004840e+05 1.00009164e+00
 4.99371419e+00 6.62507930e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
24,5.376715602470555,"[array([-133.58828, -185.55072, -175.6218 ]), array([-133.58828, -185.55072,  175.6218 ]), array([-133.58828,  185.55072, -175.6218 ]), array([-133.58828,  185.55072,  175.6218 ]), array([ 133.58828, -185.55072, -175.6218 ]), array([ 133.58828, -185.55072,  175.6218 ]), array([ 133.58828,  185.55072, -175.6218 ])]",,"[4.78064612e+04 1.13084103e+05 1.23304220e+05 1.33942954e+00
 1.64227642e+00 1.99890008e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
25,5.376715602470555,"[array([-143.22582,  -58.91115,  -74.24606]), array([-143.22582,  -58.91115,   74.24606]), array([-143.22582,   58.91115,  -74.24606]), array([-143.22582,   58.91115,   74.24606]), array([143.22582, -58.91115, -74.24606]), array([143.22582, -58.91115,  74.24606]), array([143.22582,  58.91115, -74.24606])]",,"[6.54189536e+04 4.65558646e+04 6.13709453e+04 1.59452373e+00
 6.70732682e+00 5.56654898e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
26,5.382448525441559,"[array([-193.26147, -238.84848,  -88.03065]), array([-193.26147, -238.84848,   88.03065]), array([-193.26147,  238.84848,  -88.03065]), array([-193.26147,  238.84848,   88.03065]), array([ 193.26147, -238.84848,  -88.03065]), array([ 193.26147, -238.84848,   88.03065]), array([193.26147, 238.84848, -88.03065])]",,"[1.14507477e+05 1.36964439e+05 6.70091427e+04 1.53289818e+00
 1.20041903e+00 4.32350823e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
27,5.396670683833348,"[array([-179.92885,  -74.73748, -104.2931 ]), array([-179.92885,  -74.73748,  104.2931 ]), array([-179.92885,   74.73748, -104.2931 ]), array([-179.92885,   74.73748,  104.2931 ]), array([ 179.92885,  -74.73748, -104.2931 ]), array([179.92885, -74.73748, 104.2931 ]), array([ 179.92885,   74.73748, -104.2931 ])]",,"[1.74809131e+05 7.43380408e+04 9.89560496e+04 2.69980581e+00
 6.65432835e+00 4.54884561e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
28,5.396670683833348,"[array([ -90.28814,  -79.08066, -137.89009]), array([-90.28814, -79.08066, 137.89009]), array([ -90.28814,   79.08066, -137.89009]), array([-90.28814,  79.08066, 137.89009]), array([  90.28814,  -79.08066, -137.89009]), array([ 90.28814, -79.08066, 137.89009]), array([  90.28814,   79.08066, -137.89009])]",,"[9.28703791e+04 7.66735423e+04 1.29083707e+05 5.69620772e+00
 6.13020402e+00 3.39449634e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
29,5.396670683833348,"[array([-116.35021,  -57.82372, -145.89731]), array([-116.35021,  -57.82372,  145.89731]), array([-116.35021,   57.82372, -145.89731]), array([-116.35021,   57.82372,  145.89731]), array([ 116.35021,  -57.82372, -145.89731]), array([116.35021, -57.82372, 145.89731]), array([ 116.35021,   57.82372, -145.89731])]",,"[1.74760769e+05 1.59288927e+04 5.68511220e+04 6.45475248e+00
 2.38200983e+00 1.33540958e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
