,Roots,Accuracy,Paths,Other Info
16,"[(0.02764561835258977-0.040068870382325074j), (-1.7784466522450315+3.080359960239173j), (-1.5967542644475867+0.5331941747664766j), 1.5930919111324523e-58]","[5.28085841456928e-16, 7.105427357601002e-15, 9.930136612989092e-16, 5.339081294843006e-61]",-,5
17,"[(0.02764554550178063-0.040066932387893515j), (-1.7784662408456369+3.080383969581037j), (-1.5973836311438327+0.5332029460452923j), (-0.006110149906766895-0.004215906165086516j)]","[6.938893903907228e-17, 2.267396065898031e-15, 1.0153706568044137e-15, 2.541098841762901e-21]",-,
18,"[(2.57441250334529-1.3940310981007098j), (-1.7784466522450313-3.080359960239173j), (2.312111527821172-6.1769360623853675j), 1.4908778434517607e-77]","[3.102273850532274e-14, 3.552713678800501e-15, 4.0194366942304644e-14, 1.27781983635195e-76]",-,
19,"[(2.4350038300367505-1.3034464975174294j), (-1.734227880012614-2.9909760535863414j), (2.399348148664421-6.578885330812881j), (0.1987737273764489+0.3713346028350211j)]","[2.1390168887322673e-14, 8.579661020019128e-15, 2.842170943040401e-14, 2.220446049250313e-16]",-,
20,"[(2.5065117341485608-1.381134482817047j), (-1.7286575551756138-2.985576374036154j), (2.1614035049391567-5.577385344542219j), (-0.21062103406666102-0.38223945597955317j)]","[3.102273850532274e-14, 5.296590029624932e-15, 5.123796534383003e-14, 4.965068306494546e-16]",-,
21,"[(2.984722865890856-2.4085022739542246j), (-1.7784466522450313-3.080359960239173j), (4.918785877290256+5.280812000157089j), 3.4211388289180104e-49]","[4.0194366942304644e-14, 3.552713678800501e-15, 2.842170943040401e-14, 7.116758720382441e-48]",-,
22,"[(2.9290262604514337-2.2961810700791654j), (-1.6478999930459046-2.9549960862699813j), (4.1011329428319305+5.7421784723122355j), (0.35016433041186307+0.446672317185499j)]","[8.316689495813723e-14, 3.614624287906422e-15, 4.7664655742347644e-14, 0.0]",-,
23,"[(2.7886125104575186-2.3010606640970024j), (-1.649474510157645-2.968354354299671j), (5.530374314279039+4.66399462005928j), (-0.3509084615233867-0.42525942105638714j)]","[3.1776437161565096e-14, 3.794299872214038e-15, 7.246142549764705e-14, 1.2560739669470201e-15]",-,
24,"[(3.6445679407693974-1.5983154158992412j), (-1.7784466522450313-3.080359960239173j), (-7.236948380414474+1.003339461342593j), -4.048204010200521e-79]","[6.99803436660041e-14, 3.552713678800501e-15, 2.842170943040401e-14, 6.489218033980805e-78]",-,
25,"[(3.462860981819133-1.6032239017019005j), (-1.7142969805056627-2.9012645714914216j), (-6.512580418319289+1.7300904948807228j), (0.24448935293260016+0.5280813489879775j)]","[2.2469334198890888e-14, 8.379058453350832e-15, 4.0194366942304644e-14, 8.881784197001252e-16]",-,
26,"[(3.4979276008407063-1.4620663579134092j), (-1.7285902831447149-2.89930831762537j), (-7.691650061393592+0.22450117312523124j), (-0.22296302931319317-0.5334289582551656j)]","[4.0194366942304644e-14, 1.2505665694398903e-14, 7.246142549764705e-14, 8.881784197001252e-16]",-,
27,"[(0.36687987671438327+3.940785631808087j), (3.355780266337747+0.037683340045957726j), (6.5581917037874-4.753057379295485j), (0.6009641748380035-0.0559486566827457j)]","[1.4210854715202004e-14, 8.881784197001252e-15, 0.0, 1.9860273225978185e-15]",-,
28,"[(0.31467087972208657+4.088655333527446j), 3.5568933044900626, (6.2943190741766974-3.852174746114944j), -6.747006683667535e-79]","[1.4210854715202004e-14, 7.105427357601002e-15, 1.7763568394002505e-14, 1.15662359481194e-77]",-,
29,"[(0.2342455994174064+3.8744874272287193j), (3.3615095686861904+0.023659371982317056j), (5.805695832486543-2.884919058814635j), (-0.5908537934240313+0.03572211901785849j)]","[1.5888218580782548e-14, 1.7763568394002505e-15, 4.4938668397781776e-14, 0.0]",-,
30,"[(-0.5528387286149036+3.351059642460035j), (3.4140975711345223-0.0483719977620508j), (-1.1135107633023373+6.713179625779742j), (0.5110318045744447+0.08430711573826763j)]","[1.2162532505487668e-13, 1.3339319245520533e-14, 7.105427357601002e-15, 9.930136612989092e-16]",-,
31,"[(-0.5981674648856052+3.5685453756605154j), 3.5568933044900626, (-0.3916346613721833+7.067171638694606j), 2.1590421387736112e-78]","[3.1776437161565096e-14, 7.105427357601002e-15, 1.112777679488712e-75, 6.320664611498198e-77]",-,
32,"[(-0.575910692758733+3.4828367984570425j), (3.4026753315812046-0.052357739121786664j), (0.4011628728093252+7.231238962391337j), (-0.531127632466485-0.08782555728496666j)]","[3.8263897345803626e-14, 1.7763568394002505e-15, 2.842170943040401e-14, 1.7763568394002505e-15]",-,
33,"[(0.29432770656282164+2.926000438100502j), (3.4461043974329977+0.022500567536948114j), (-5.445746638581743-2.6497695804306196j), (0.4462108836029014-0.044884554460104684j)]","[3.552713678800501e-15, 6.218240129447692e-15, 1.0658141036401503e-14, 1.4043333874306805e-15]",-,
34,"[(0.35788919017359117+3.015201787791107j), 3.556893304490063, (-5.908664316697888-3.1078626584567135j), 0.0]","[1.464821375527116e-14, 7.105427357601002e-15, 2.842170943040401e-14, 1.592427695927716e-76]",-,
35,"[(0.3823900721161941+2.8605205373893865j), (3.451830383797955+0.028581740682477038j), (-6.217877620067054-3.4523769116045417j), (-0.4362252923589355+0.05831393930710118j)]","[3.552713678800501e-15, 1.3506446028928519e-15, 3.1776437161565096e-14, 4.440892098500626e-16]",-,
36,"[(2.929026260451433+2.2961810700791654j), (-1.6478999930459048+2.9549960862699813j), (4.1011329428319305-5.7421784723122355j), (0.350164330411863-0.44667231718549893j)]","[3.552713678800501e-14, 3.8778423131653425e-15, 4.4938668397781776e-14, 1.9860273225978185e-15]",-,
37,"[(2.788612510457519+2.301060664097003j), (-1.649474510157645+2.968354354299671j), (5.53037431427904-4.66399462005928j), (-0.3509084615233868+0.42525942105638725j)]","[3.552713678800501e-14, 1.4217791915866692e-15, 3.1776437161565096e-14, 8.881784197001252e-16]",-,
38,"[(2.984722865890856+2.4085022739542246j), (-1.7784466522450313+3.080359960239173j), (4.918785877290256-5.280812000157089j), 0.0]","[4.0194366942304644e-14, 3.552713678800501e-15, 2.842170943040401e-14, 3.969791321319059e-77]",-,
39,"[(2.4350038300367505+1.3034464975174294j), (-1.734227880012614+2.9909760535863414j), (2.399348148664421+6.578885330812881j), (0.1987737273764489-0.3713346028350211j)]","[2.1390168887322673e-14, 8.579661020019128e-15, 2.842170943040401e-14, 2.220446049250313e-16]",-,
40,"[(2.5065117341485608+1.3811344828170469j), (-1.728657555175614+2.985576374036154j), (2.1614035049391567+5.577385344542219j), (-0.210621034066661+0.3822394559795531j)]","[1.7763568394002505e-14, 8.188600426433445e-15, 4.0194366942304644e-14, 9.155133597044475e-16]",-,
41,"[(2.5744125033452896+1.3940310981007096j), (-1.7784466522450315+3.080359960239173j), (2.3121115278211715+6.1769360623853675j), 3.454467422037778e-77]","[4.9769702052493514e-14, 7.105427357601002e-15, 6.355287432313019e-14, 3.386215286716259e-76]",-,
42,"[(3.4628609818191336+1.6032239017019005j), (-1.7142969805056627+2.9012645714914216j), (-6.51258041831929-1.730090494880723j), (0.24448935293260018-0.5280813489879775j)]","[5.411332257568737e-14, 8.152394204457378e-15, 1.3043830727131805e-13, 2.220446049250313e-15]",-,
43,"[(3.4979276008407068+1.4620663579134097j), (-1.728590283144715+2.8993083176253704j), (-7.691650061393592-0.22450117312523155j), (-0.22296302931319326+0.5334289582551656j)]","[3.1776437161565096e-14, 1.0986160316453369e-14, 2.842170943040401e-14, 3.66205343881779e-15]",-,
44,"[(3.6445679407693974+1.5983154158992412j), (-1.7784466522450315+3.080359960239173j), (-7.236948380414474-1.003339461342593j), -1.349401336733507e-79]","[4.5496934130773415e-14, 7.105427357601002e-15, 2.842170943040401e-14, 2.5606131830446753e-78]",-,
45,"[(0.025435747522373743+0.047631602250788316j), (-1.77846348901872-3.0803941690668006j), (1.3469780766328372-1.1060579698022368j), (0.007263751245896494-0.0038789151325030868j)]","[5.551115123125783e-16, 7.0014558882945655e-15, 8.532851566307954e-16, 7.576092996970438e-21]",-,
46,"[(0.025431370559352025+0.047630208018952j), (-1.7784634829064099-3.080394166894184j), (1.34741593567137-1.1045435791407456j), (-0.007263538627534741+0.0038782476518998757j)]","[6.901322157724297e-16, 6.20096344173522e-15, 3.5050242372837593e-16, 7.099429777442342e-21]",-,
47,"[(0.025434037706303127+0.04763210880941237j), (-1.7784466522450315-3.080359960239173j), (1.347208746413108-1.1053083281784102j), 9.956824444577827e-60]","[2.7894008272968645e-16, 7.105427357601002e-15, 1.2560739669470201e-15, 6.491572173520391e-62]",-,
48,"[(0.02131180611725976+0.0414551118491002j), (-1.7784583958531701-3.080385831104206j), (0.2611185769602932+1.6389241090743947j), (0.006321845289966-0.003250019964087772j)]","[1.6184142622847344e-16, 2.3358822476212854e-15, 1.0821393586309488e-15, 3.4144989710325696e-21]",-,
49,"[(0.02131220077623323+0.041457630444789846j), (-1.7784583961841036-3.080385834194384j), (0.2619558661372534+1.6381016246476197j), (-0.006322229372207918+0.003250080149016995j)]","[4.518280359883027e-16, 4.6443113880378936e-15, 6.534751917133488e-16, 3.788046498485219e-21]",-,
50,"[(0.021312214682329838+0.04145702212001805j), (-1.7784466522450313-3.080359960239173j), (0.26153717448086533+1.638520999790924j), -2.5489470578119236e-57]","[1.4946834900704541e-16, 3.552713678800501e-15, 9.930136612989092e-16, 6.192337202992466e-60]",-,
51,"[(0.027644429476630587+0.04006974619685563j), (-1.7784662397169086-3.080383973265831j), (-1.5961058805220116-0.5331842978125242j), (0.006110579008610807-0.004215735972846679j)]","[4.311058334485492e-16, 1.0246162342637754e-15, 9.30757147564526e-16, 2.541098841762901e-21]",-,
52,"[(0.027645545501780628+0.040066932387893515j), (-1.7784662408456369-3.080383969581037j), (-1.597383631143833-0.5332029460452923j), (-0.006110149906766895+0.004215906165086516j)]","[1.716587549445839e-16, 2.267396065898031e-15, 1.5753056861485305e-15, 0.0]",-,
53,"[(0.027645618352589767+0.04006887038232507j), (-1.7784466522450313-3.080359960239173j), (-1.5967542644475867-0.5331941747664765j), -1.9117102933589427e-57]","[1.8619006149354548e-16, 3.552713678800501e-15, 4.440892098500626e-16, 5.444815941412542e-60]",-,
54,"[-0.04589368213267493, 3.5568933044900626, 1.6506677247279693, 2.2958874039497803e-41]","[3.885780586188048e-16, 7.105427357601002e-15, 8.881784197001252e-16, 4.835667063874158e-44]",-,
55,"[(-0.045893041657471136+1.1987925325037357e-06j), 3.556920845786943, (1.6506600715290156+0.0005693723464817424j), (1.8281414733222214e-07+0.006998623240979019j)]","[3.885780588551421e-16, 8.100941792377192e-15, 2.4544330508186936e-16, 3.3881317953280886e-21]",-,
56,"[(-0.045893041657471136-1.1987925325037354e-06j), 3.556920845786943, (1.6506600715290156-0.0005693723464817424j), (1.8281414733222211e-07-0.006998623240979019j)]","[3.885780586188048e-16, 8.100941792377192e-15, 2.454430933249548e-16, 3.3881317890172014e-21]",-,
57,"[(-0.05144576394373498+0.004014429349256687j), 3.5568933044900626, (-0.8193539584706112+1.5082644502001734j), 0.0]","[3.2398021848425308e-16, 7.105427357601002e-15, 1.1102230246251565e-16, 5.30257112080772e-62]",-,
58,"[(-0.05144348172116608+0.004012658509607307j), (3.5569276999406942-5.39862614227275e-06j), (-0.8187931367441079+1.507801167616662j), (0.0006119246859480747+0.007845057415409307j)]","[6.938893903907228e-17, 6.706874644472427e-16, 5.497185146386374e-16, 3.3881317890172014e-21]",-,
59,"[(-0.05144604350624953+0.0040154951952770315j), (3.556927703089608-5.402711647017516e-06j), (-0.8199092666922864+1.5087049364627634j), (-0.0006123572764571904-0.007845448083972034j)]","[4.982493048981751e-16, 9.143293761004756e-15, 4.581878916462192e-16, 1.6940658945086007e-21]",-,
60,"[(-0.05144576394373498-0.004014429349256688j), 3.5568933044900626, (-0.8193539584706112-1.5082644502001736j), -1.1210387714598537e-44]","[3.1031676915590914e-16, 7.105427357601002e-15, 9.155133597044475e-16, 3.0769522673470355e-47]",-,
61,"[(-0.05144604350624953-0.004015495195277031j), (3.556927703089608+5.402711647017515e-06j), (-0.8199092666922864-1.5087049364627634j), (-0.0006123572764571904+0.007845448083972034j)]","[4.75098925995612e-16, 9.143293761044933e-15, 4.265136145076418e-16, 0.0]",-,
62,"[(-0.05144348172116608-0.004012658509607307j), (3.5569276999406942+5.39862614227275e-06j), (-0.8187931367441079-1.507801167616662j), (0.0006119246859480746-0.007845057415409307j)]","[6.938893903907228e-17, 6.706874644472427e-16, 5.493052287384055e-16, 3.492406309907713e-21]",-,
63,"[(-2.3693660204797147-1.9409630387117642j), (-1.686410078526922+2.999314751854939j), (7.104745315023769+1.2548529261696324j), (0.29599408847197206-0.3613249307178094j)]","[2.929642751054232e-14, 4.5288390936029406e-15, 7.246142549764705e-14, 6.280369834735101e-16]",-,
64,"[(-2.4272615305417653-1.8393519086931143j), (-1.6937745956609287+2.9935864269090797j), (5.966301948017405+1.7302352476018192j), (-0.28049853641424755+0.370153913230949j)]","[4.322062729257126e-14, 5.329070518200751e-15, 5.123796534383003e-14, 1.831026719408895e-15]",-,
65,"[(-2.4981971970233743-1.9793911545276912j), (-1.7784466522450313+3.080359960239173j), (6.616476954666967+1.5028528460355033j), -4.3790577010150533e-47]","[1.5888218580782548e-14, 3.552713678800501e-15, 2.842170943040401e-14, 6.291376996990168e-46]",-,
66,"[(-3.1467012493597-1.0797253165557397j), (-1.7585620270671196+2.937067218205983j), (-4.811979976158803+5.528384349839291j), (0.16465656712666932-0.47986744179117513j)]","[1.5888218580782548e-14, 3.722145839155691e-15, 1.3649080239232024e-13, 8.881784197001252e-16]",-,
67,"[(-3.029078707014429-1.1231604456623672j), (-1.7531003798993423+2.9463122338043437j), (-3.380572668908854+5.504314351631569j), (-0.17128036221764212+0.46193017224463506j)]","[1.5888218580782548e-14, 6.661338147750939e-15, 5.422982071392023e-14, 9.930136612989092e-16]",-,
68,"[(-3.2259810036583914-1.1448061489391486j), (-1.7784466522450315+3.080359960239173j), (-4.134278079303518+5.584554465930377j), 1.2154326714572542e-63]","[1.5888218580782548e-14, 7.105427357601002e-15, 5.684341886080802e-14, 1.426966337610737e-62]",-,
69,"[(-3.351531595664155-1.9941900494063294j), (-1.674634699857655+2.9109716016370646j), (-2.304820531292023-5.888629971401376j), (0.3041111315059715-0.5111037767633368j)]","[4.4938668397781776e-14, 4.5288390936029406e-15, 2.842170943040401e-14, 1.1102230246251565e-16]",-,
70,"[(-3.445096181200252-2.110957015634835j), (-1.6623685402087893+2.9015287094407314j), (-2.585554516643825-7.924845752683686j), (-0.32191792691789417+0.5253722422913545j)]","[4.263256414560601e-14, 3.552713678800501e-15, 1.4210854715202004e-13, 5.4930801582266845e-15]",-,
71,"[(-3.553916980065001-2.14749348317558j), (-1.7784466522450313+3.080359960239173j), (-2.4881395565067894-6.980173416005528j), 0.0]","[1.7763568394002505e-14, 3.552713678800501e-15, 6.355287432313019e-14, 0.0]",-,
72,"[(-2.4981971970233743+1.979391154527691j), (-1.7784466522450313-3.080359960239173j), (6.616476954666967-1.502852846035503j), 0.0]","[1.0048591735576161e-14, 3.552713678800501e-15, 3.3617777879526827e-75, 1.7546930269160368e-76]",-,
73,"[(-2.3693660204797147+1.9409630387117642j), (-1.686410078526922-2.999314751854939j), (7.104745315023769-1.2548529261696326j), (0.29599408847197206+0.3613249307178094j)]","[2.929642751054232e-14, 4.5288390936029406e-15, 8.28628102289784e-14, 6.280369834735101e-16]",-,
74,"[(-2.4272615305417653+1.8393519086931143j), (-1.6937745956609287-2.9935864269090797j), (5.966301948017405-1.7302352476018192j), (-0.28049853641424755-0.370153913230949j)]","[4.322062729257126e-14, 5.329070518200751e-15, 5.123796534383003e-14, 1.831026719408895e-15]",-,
75,"[(-3.553916980065001+2.14749348317558j), (-1.7784466522450313-3.080359960239173j), (-2.4881395565067894+6.980173416005528j), 5.473822126268817e-48]","[1.7763568394002505e-14, 3.552713678800501e-15, 6.355287432313019e-14, 1.0551997806093206e-46]",-,
76,"[(-3.3515315956641545+1.9941900494063296j), (-1.674634699857655-2.9109716016370646j), (-2.304820531292023+5.888629971401376j), (0.3041111315059715+0.5111037767633368j)]","[3.1776437161565096e-14, 4.5288390936029406e-15, 3.1776437161565096e-14, 2.1556631856153973e-15]",-,
77,"[(-3.445096181200252+2.110957015634835j), (-1.6623685402087893-2.9015287094407314j), (-2.585554516643825+7.924845752683686j), (-0.32191792691789417-0.5253722422913544j)]","[4.263256414560601e-14, 6.6018607235733855e-15, 1.2710574864626038e-13, 2.220446049250313e-15]",-,
78,"[(-3.225981003658391+1.1448061489391483j), (-1.7784466522450313-3.080359960239173j), (-4.134278079303518-5.584554465930377j), 2.1895288505075267e-47]","[2.0097183471152322e-14, 3.552713678800501e-15, 1.4210854715202004e-14, 2.868414581120213e-46]",-,
79,"[(-3.1467012493597+1.0797253165557394j), (-1.7585620270671196-2.937067218205983j), (-4.811979976158802-5.528384349839291j), (0.1646565671266693+0.4798674417911752j)]","[2.842170943040401e-14, 4.490574227168739e-15, 4.935587579328812e-14, 8.881784197001252e-16]",-,
80,"[(-3.029078707014429+1.1231604456623674j), (-1.7531003798993423-2.9463122338043437j), (-3.3805726689088536-5.504314351631569j), (-0.17128036221764212-0.46193017224463506j)]","[1.0048591735576161e-14, 6.661338147750939e-15, 4.618527782440651e-14, 9.930136612989092e-16]",-,
