0.7620525324725581 + 0.3786142934971355im,-1.592499078390848 + 0.18658771583165512im,-0.5681718364794738 - 1.2885192868393742im,0.4674237779087548 + 0.8795991444574363im
-0.7621076821610622 - 0.3802161474224071im,-1.5945752063255039 + 0.18422551757749026im,-0.5678115422429565 - 1.288005243711821im,0.4607366334331529 + 0.8813541399987778im
1.6704779438076223e-51 - 8.352389719038111e-52im,-1.5944336245760047 + 0.1864393154918901im,-0.7322959437807617 - 1.2683737808048814im,0.4652266906447921 + 0.8832449929022277im
3.650079042040425 - 27.59579112851576im,0.7750228742034547 - 11.772400142370184im,-27.593833442600175 - 3.6506062359680542im,11.770925760406614 + 0.7638332753313586im
-25.725213818444207 - 10.637030346206013im,9.807899427862717 - 6.557633894828664im,10.635595051299253 - 25.7237822028586im,6.547206718320286 + 9.812216996007884im
0.0 - 1.8375257381883845e-51im,0.478873223920133 + 1.1995229238660612im,1.4645918875615231 + 1.6704779438076223e-52im,-0.8543166096084324 - 0.6497383239389549im
-0.6385122721249662 + 0.2355607366065013im,0.4771658204059795 + 1.2013540980850692im,1.384323428504329 + 0.0683049518172016im,-0.8588748438906665 - 0.6474861153750026im
0.6365338587875427 - 0.23622182649779677im,0.47819643336358814 + 1.1972972227791197im,1.3849683069508552 + 0.06828793383194395im,-0.8540231723743377 - 0.6544555690181775im
-0.12182800809832839 + 0.9148015556480997im,-1.594665898552013 - 0.18782305435830854im,1.6509593481347007 + 0.05005031673795299im,0.4677066953938503 - 0.8850560046283936im
-5.254869241218064e-46 - 8.758115402030107e-47im,-1.5944336245760047 - 0.1864393154918901im,1.464591887561523 + 3.452292721408221e-61im,0.4652266906447921 - 0.8832449929022277im
0.12031980469692367 - 0.9169709801961199im,-1.597907942503386 - 0.185348831192443im,1.6519306007843555 + 0.04954112708218314im,0.4597100361413463 - 0.8890020129974971im
0.6302497713844837 + 0.47012576600327277im,0.9336587822364043 - 1.1353677507789657im,1.424177178628007 - 0.13518981678998515im,-0.2352168340727338 - 0.9977214328077757im
-25.72521381844421 + 10.637030346206013im,9.807899427862717 + 6.557633894828663im,10.635595051299251 + 25.723782202858605im,6.547206718320284 - 9.812216996007884im
3.3409558876152446e-52 + 1.0022867662845734e-51im,0.9344270859814483 - 1.1338191339685568im,1.4645918875615231 + 0.0im,-0.23416557832304058 - 1.0011639957823242im
-0.6283677614899102 - 0.46975103062308143im,0.9324382966370739 - 1.1319028977146175im,1.4246422461544572 - 0.13467743698917473im,-0.22842206294008496 - 1.0012437917009918im
0.5660838263026094 + 0.4578327819452024im,0.4790357991889862 + 1.2034562505210002im,-0.8216002165238578 + 1.349172822141546im,-0.8568517312100393 - 0.6421387580445321im
-0.5652201682267651 - 0.4549043697921268im,0.48004844328253865 + 1.1985203034595207im,-0.8206043657192768 + 1.349037688551033im,-0.8513603714862682 - 0.6508108811994032im
-6.681911775230489e-52 + 0.0im,0.478873223920133 + 1.1995229238660612im,-0.7322959437807617 + 1.2683737808048814im,-0.8543166096084324 - 0.6497383239389549im
22.07209818723034 + 16.959152822302638im,-10.582604064891886 + 5.214703629227744im,16.958630654120117 - 22.070138991288346im,5.223656997697777 + 10.575731797976337im
3.6531154168701274 + 27.59618369486105im,0.77565934850778 + 11.772525378959662im,-27.594226231869644 + 3.6536429971292317im,-11.771049849145749 + 0.7644702220127966im
-25.724035603540603 + 10.634204485184311im,9.807262953547266 + 6.557759131449954im,10.632768744242568 + 25.7226039878473im,-6.547330807091217 + 9.811580049315227im
-6.681911775230489e-52 + 0.0im,-1.1918432766707985 + 0.0im,-0.7322959437807617 + 1.2683737808048814im,-1.102461100575461 + 0.0im
-0.5407675114850693 + 0.33123222985877243im,-1.191328867745132 - 0.0013447669776687663im,-0.6408434114947061 + 1.2635079274438494im,-1.1035356203037419 + 0.0028004557910693614im
0.5392535464426698 - 0.3330995795345596im,-1.1909714815391519 + 0.003312431209670354im,-0.6409740990776149 + 1.2628252587394617im,-1.104294072281165 - 0.006894246695469742im
-1.3363823550460978e-51 - 1.8375257381883845e-51im,0.47887322392013304 - 1.1995229238660612im,-0.7322959437807617 + 1.2683737808048814im,-0.8543166096084324 + 0.6497383239389549im
0.07425421077773472 + 0.6885272968937456im,0.47930223445277975 - 1.2005132265092582im,-0.8058098333492062 + 1.1874525873526538im,-0.8542102180600148 + 0.6475448892019984im
-0.07317945397924025 - 0.6865014266385578im,0.47962058054555434 - 1.196154888521994im,-0.8051584180930881 + 1.1877716770623126im,-0.8505038027683667 + 0.6556301518779062im
-0.07317945397924021 + 0.6865014266385578im,0.47962058054555434 + 1.196154888521994im,-0.8051584180930881 - 1.1877716770623126im,-0.8505038027683667 - 0.6556301518779062im
-2.802596928649634e-45 + 2.802596928649634e-45im,0.478873223920133 + 1.1995229238660612im,-0.7322959437807617 - 1.2683737808048814im,-0.8543166096084324 - 0.6497383239389549im
0.07425421077773477 - 0.6885272968937455im,0.47930223445277964 + 1.2005132265092582im,-0.8058098333492062 - 1.1874525873526538im,-0.854210218060015 - 0.6475448892019985im
3.6531154168701265 - 27.59618369486105im,0.7756593485077792 - 11.772525378959662im,-27.594226231869648 - 3.65364299712923im,-11.77104984914575 - 0.7644702220127957im
-0.7889375623245681 + 0.27971558586313106im,0.9365571676942401 - 1.1371642206447077im,-0.7576496325660814 - 1.4253699251960457im,-0.24216712807517402 - 0.9991774849866177im
2.0045735325691467e-51 - 1.3363823550460978e-51im,0.9344270859814483 - 1.1338191339685568im,-0.7322959437807617 - 1.2683737808048814im,-0.23416557832304058 - 1.0011639957823242im
0.7864687519869856 - 0.2784352785564985im,0.934360502505734 - 1.1333003780674917im,-0.7573377417821937 - 1.424367868941348im,-0.23332575304759204 - 1.0018538758032247im
0.5392535464426698 + 0.3330995795345596im,-1.1909714815391519 - 0.003312431209670354im,-0.6409740990776149 - 1.2628252587394617im,-1.1042940722811645 + 0.006894246695469744im
-0.5407675114850693 - 0.33123222985877243im,-1.191328867745132 + 0.0013447669776687663im,-0.6408434114947061 - 1.2635079274438494im,-1.1035356203037419 - 0.002800455791069361im
8.758115402030107e-47 - 1.7516230804060213e-46im,-1.1918432766707987 + 3.503246160812043e-46im,-0.7322959437807617 - 1.2683737808048814im,-1.102461100575461 - 2.1895288505075267e-46im
-0.5652201682267651 + 0.4549043697921268im,0.4800484432825386 - 1.1985203034595207im,-0.8206043657192769 - 1.349037688551033im,-0.8513603714862682 + 0.6508108811994032im
8.352389719038111e-52 - 2.0045735325691467e-51im,0.47887322392013293 - 1.1995229238660612im,-0.7322959437807617 - 1.2683737808048814im,-0.8543166096084324 + 0.649738323938955im
0.5660838263026096 - 0.4578327819452023im,0.47903579918898626 - 1.2034562505210002im,-0.8216002165238577 - 1.3491728221415462im,-0.8568517312100393 + 0.642138758044532im
