,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
261,"[array([ 759639.98315701, 1469562.87438838, 1373212.81329936]), array([ 759639.98315701, 1469562.87438838, 1373212.81329936])]","[array([-174.34925,   27.08445, -152.32076]), array([174.34925, -27.08445, 152.32076])]",,"[8159.992397372036, 6943.370323375129, 2192.4131428673372, 2.647053103977406, 0.7263781294429406, 4.277010431215328, 5.324299238281345, 4.87442259447891, 9.541556784341825, 8.335220337582744, 6.353473429116459, -8.73668451465019, 147132.63590077497, 69802.12344535539, -389250.0166782268]"
262,0,0,,"[-2863.3228073284654, -4335.900565151649, 7573.167410045506, 4.366509955902611, 0.49048489757899694, 2.72353618458054, 10.542926667477222, -4.089291434587974, 5.283493093467838, -5.030884004507558, -8.27122138935786, -0.4183324320588948, 142478.07358344604, -119356.92635333486, -173728.06860414863]"
263,"[array([710721.57200439, 192950.84107422, 305624.62150048]), array([675649.17096633, 375025.73682997, 101099.15250242]), array([675649.17096633, 375025.73682997, 101099.15250242]), array([710721.57200439, 192950.84107422, 305624.62150048])]","[array([-109.74861,    8.51813, -124.83249]), array([-82.13649, 183.27842,   4.25134]), array([  82.13649, -183.27842,   -4.25134]), array([109.74861,  -8.51813, 124.83249])]",,"[-2985.160689563606, 3126.562387390308, 7868.39228104044, 3.808282942745188, 0.22320257657187337, 2.429775830817136, 11.087940960491888, 8.257102314067854, 2.782171582978062, -9.735009876292402, 2.0520064415544397, -5.230044289571919, 91592.28748803752, -56799.10388985148, -93407.94843443896]"
264,0,0,,"[-9982.757833178046, 8545.24121176593, -2373.6964993234833, 2.2648789520706543, 3.8520031810361064, 5.48405767669371, -9.244232443329963, -0.24044981694051693, -2.653489047787403, -11.044969185605908, 1.93858082989267, -8.858378294735681, -54644.6376075351, -121765.91202102235, -60420.08104815218]"
265,0,0,,"[-2504.2797651192086, 1368.1794835188011, 2355.6785063620355, 1.5990250736468783, 0.5640506153660577, 4.851893467230081, -0.5351303505405252, 3.5935670319841986, -1.301562013808276, 5.69774177599448, 3.0573914048338864, -11.17391462458891, -85467.40353427806, 143193.95014529792, -9026.982394819148]"
266,"[array([124807.77785423, 328638.81916423, 414283.1633149 ])]","[array([-30.39554, -90.87618, -67.86744])]",,"[-7595.160492716557, -4675.352042282608, 8553.611524170381, 5.699923597030783, 0.5848240876093652, 4.968184149386136, 5.0939301351156026, 1.1509228780794079, 7.1834393858243715, 3.925410501721032, 6.542375450269343, 1.9457523275003812, -36695.66013861622, -139167.91245946032, -71485.06036683277]"
267,"[array([181425.57187705, 353030.75292861, 414914.71514937])]","[array([-58.17016, -68.94536, -67.59837])]",,"[1637.333728396281, 5572.861561513439, 8970.784375777075, 4.260091783007311, 4.396245759574272, 2.794035910827462, 11.879841723959824, 8.634868373595005, 4.394186915925806, -10.226432989771407, 2.630537273733303, 6.155497577721565, -60264.05011510868, -138448.04185507545, -81829.21298054466]"
268,"[array([517195.54250518, 273848.1583223 , 106041.62268129])]","[array([-70.59644, -82.45006, -65.57286])]",,"[3038.0484308228242, 1268.565696364185, 1631.0285473986623, 2.106494221938819, 0.11056622478622152, 3.3742917874185223, 8.538803505574766, 8.98961316982124, 12.364082382759719, -3.058448309463307, 2.2343210688779784, -0.4294437277223011, -59219.14848876951, -126884.77266495788, -154923.69663130684]"
269,"[array([ 385867.27055405, 1727449.09378088, 1133342.16400362]), array([ 385867.27055405, 1727449.09378088, 1133342.16400362])]","[array([-164.87759,    3.11927, -204.15246]), array([164.87759,  -3.11927, 204.15246])]",,"[8984.106183398413, -9786.773119769132, 329.3602145356981, 4.795229585058169, 5.4818414375035305, 1.9610421862395482, 11.45260228414422, 6.590715225603409, -0.6613826562273522, -1.0573275233405752, 0.20819597746198149, -2.477102789998373, 96292.65475199468, -60170.832630282894, -194010.7349470867]"
270,0,0,,"[3097.5768628692294, 4763.169573915327, -8783.006484857959, 5.543503748114911, 3.46698202488644, 2.04506904181281, -3.4346624114211224, -7.507647140861765, -6.884187453621342, 5.199451515818872, -0.8794412012338384, 0.10845366856506011, 146368.75148121186, 43698.73999886977, -331496.1291869822]"
271,"[array([129461.31101317, 278490.61194266, 338416.64236299])]","[array([-40.33524, -55.98452, -58.67833])]",,"[4341.093818849917, -7458.88087992018, -2928.325830180358, 5.84650447979976, 5.5014380527688, 1.976411391158992, 10.036161204548666, 6.478222002503367, 2.0569824645939665, 6.240022014220941, 0.5119389724391414, 6.2875451716857995, -117087.82976196182, -96008.37970731, -18106.228583791817]"
272,0,0,,"[-3378.1756273601586, 518.9609456986636, 7246.2360067697555, 4.659978630866007, 2.199550093550816, 5.71903878039411, -10.374960824612216, 12.12773242091544, -2.5425502365644084, -2.9065166622822005, -7.324033533122594, 6.1166772963035285, -145141.61757764447, -9104.819716803147, -221153.52033013603]"
273,0,0,,"[-1546.8798125667527, 4458.392931931043, -6133.800515324426, 2.7678267794154836, 2.9024868637476646, 0.31925860980364884, -11.190448780921864, 11.132032896369719, 11.73199291235003, -6.457356645187651, -8.611240978578007, -3.197054750494347, 109992.39229781055, -7190.398020934896, -98504.12132866308]"
274,"[array([ 710657.81134349, 1137063.62822902, 1079487.29556422])]","[array([-139.40814, -120.37662, -148.27501])]",,"[-6674.096112511283, -6713.385999755026, 3602.1169331052424, 3.93301626791899, 4.457891185591887, 3.374196857483688, -4.816417861688358, 2.4825990809406537, 2.827485081302175, 4.351673500495689, -1.9664239741436162, 1.0221907215334074, -96871.38444213769, -133355.0596941663, -367856.3771592664]"
275,"[array([624211.8948761 , 131474.48488876, 366656.2507137 ]), array([193906.62925627, 101007.91897383,  94591.84747585]), array([193906.62925627, 101007.91897383,  94591.84747585])]","[array([-99.8188 , -99.68357,   4.08904]), array([-41.22217,  23.94861, -73.56835]), array([ 41.22217, -23.94861,  73.56835])]",,"[6981.009465342504, 913.2705302880131, -880.4391789347064, 3.8558018472041535, 3.709225533518013, 0.9631302628880417, -3.9704755004661543, 7.857389533151803, 6.627379151005444, -0.28780524330085555, 5.927163594320511, -0.2180785583263134, -57910.61699094821, 78486.12977747229, -61850.733115303156]"
276,"[array([ 38905.8739696 , 131058.83374603, 123254.62261248]), array([ 38905.8739696 , 131058.83374603, 123254.62261248])]","[array([-33.84103,  37.03563, -79.85073]), array([ 33.84103, -37.03563,  79.85073])]",,"[-8181.252316802789, -7495.13619451456, 8840.645740097661, 2.8282253737179777, 0.8641427092311114, 1.4938426144137669, 9.584433325045524, 6.543757651312182, 0.03776399856215562, -6.525242144876184, -0.6875079361061118, 0.36196103552569525, -20078.37717892567, 55548.438527773134, -27454.680223608215]"
277,0,0,,"[-505.18374478562873, -7621.286364258049, -9290.72378664797, 3.4408667166530797, 0.9645987268929088, 2.191009316896211, -10.218065026796264, 9.522318328121788, 0.5702598892669233, -4.830461310926607, -3.446881061835354, -7.078097191400732, -70150.23454468847, -104803.64228910414, -129803.45491709758]"
278,"[array([499352.99000278, 188393.49421619, 297012.54987518])]","[array([-96.12842, -22.55991, -81.66985])]",,"[-4636.053530664894, 168.7426850715783, -3630.876441003008, 1.0352401786080847, 5.018668163302953, 1.6685791113314417, 7.714802985776014, -4.422629221935156, 4.556156142243989, 5.229126554788721, 7.38150305888362, 7.846981728167847, -78953.1178055943, 13217.625264913368, -244400.89663299962]"
279,0,0,,"[6898.229123319445, 2394.7879615609254, 6029.204549920692, 2.197114017334624, 1.1716571614448346, 3.4784159879422125, -0.9032851791014824, -6.9620847128725085, 11.006578865085768, 7.608661579221899, -3.6560711704456814, 4.8901313549023335, -67848.93963346317, 128049.36375380622, -160804.06386989605]"
280,"[array([1075401.64222857,   94672.47400958,  110409.00440582]), array([966367.57652926, 136223.58524828, 381253.95363924]), array([966367.57652926, 136223.58524828, 381253.95363924]), array([1075401.64222857,   94672.47400958,  110409.00440582])]","[array([-130.75102,  118.53609, -123.61571]), array([-129.44448,  181.84256,  130.16793]), array([ 129.44448, -181.84256, -130.16793]), array([ 130.75102, -118.53609,  123.61571])]",,"[7933.000744236811, -2324.059675669215, -5740.582794677689, 4.945361301357343, 0.8742793381477488, 2.823089868531485, -1.8344052868583471, -0.15644108241522137, 0.13574347571053025, 1.0632721262884761, 0.4352194875114854, -5.814534604293575, 87515.8429174211, -58105.16915209673, -50506.94399356807]"
281,0,0,,"[-5304.446017915007, 9483.963549252527, 9818.082070104265, 2.1611263106333243, 4.083165661881845, 5.182757819228584, -8.560834177628726, -0.42611866875598814, 7.012811432806714, 11.201497712576469, -11.65759485653535, -9.993023032852623, 93412.45768391283, -147995.60620317177, -41552.903910908324]"
282,"[array([171205.73829179, 414515.56251873, 607151.81198538]), array([171205.73829179, 414515.56251873, 607151.81198538])]","[array([-86.05155,  55.46862, -67.10923]), array([ 86.05155, -55.46862,  67.10923])]",,"[6360.674956332521, -1178.2452688426565, -7904.668364800029, 2.029986179419114, 2.417952059113625, 5.450711392900071, 7.162218092744567, 4.833877842550816, 9.829226973854855, 4.402071827847653, -4.418948517018476, 5.893988750485928, 103736.10870961606, 38173.296267585974, -247890.14885226003]"
283,0,0,,"[3711.3764193300394, -3992.5500345406626, -3621.4355273443007, 4.139587926797762, 0.23454379814834633, 1.1227459343546162, -12.419386062906858, -1.6203956854342403, 1.7071011570441552, 3.476674983009456, 6.250154592507311, -0.16687181709078835, -146838.626041427, -1095.2254130791407, -379409.75512232276]"
284,0,0,,"[4465.911764705961, -9762.942229366181, 8600.991196607898, 2.9066603100816946, 4.267903724816671, 1.7305838908325781, 4.087056040997002, -5.721947315812276, 12.426515857376241, -4.9563387049427545, -6.439839803977299, 5.668941431838359, 5602.027719339094, 83751.99838566221, -136857.40435578598]"
285,"[array([2877385.84471773,  483328.1323577 , 1121572.00322002]), array([2877385.84471773,  483328.1323577 , 1121572.00322002])]","[array([-187.55731,  230.79322, -216.25029]), array([ 187.55731, -230.79322,  216.25029])]",,"[-9460.064531736854, -602.0643999022377, -2891.5731555894863, 5.972188023723928, 3.262472532980154, 1.7495446179305059, 6.282682285387921, 5.345447199140681, -2.137739421273568, -11.655701800633341, -6.188950065878927, 2.0606548942008995, 132500.11451443186, 140580.63225876307, -101151.15747018025]"
286,0,0,,"[-5533.686874364752, 3887.8743356599243, 9007.38006833435, 0.37204819153609725, 4.5748694369031515, 4.9043910231671175, 1.3074746081705584, 4.6678672226095, 4.239875898295834, 7.839529859278553, 7.757181223409766, -8.625866974207064, 147555.22690901614, -85981.7340692696, -155163.99712377915]"
287,0,0,,"[-1175.4969792204647, 5105.368404080165, -6549.77848575079, 2.7924512460539574, 5.495097041712678, 1.6690365223078387, -9.1227505110291, 1.5023233522767807, 7.021882224237913, 5.376331629599633, -8.304214969680434, -6.419055511472366, 107230.53111354052, 100180.86962506635, -329258.23064212]"
288,0,0,,"[-6334.429217840771, 6955.882528701444, 1979.9756552554609, 0.7476599733550786, 5.813704090625728, 4.807235904302832, 10.391471078616185, -0.22283270475596595, -3.614213260668812, -0.25101833606612445, -3.3898744793273643, -10.119108323201342, 69648.74686974732, 149531.7592705154, -79019.18989802449]"
289,0,0,,"[9118.552797988214, -603.2490745053092, -3367.5499449164417, 4.412783502244591, 1.3711247387940049, 1.2569906625599319, 6.892913784167835, 11.062106696483099, -3.8434177771104316, 2.0317509430918417, -10.983375157660753, -5.260632976433393, 135028.32184664544, 49467.422232093784, -244161.1911164601]"
290,"[array([171031.45545137, 463897.64606639, 539940.3326763 ]), array([171031.45545137, 463897.64606639, 539940.3326763 ])]","[array([-162.31367,   10.00172,  -96.87487]), array([162.31367, -10.00172,  96.87487])]",,"[-4492.0890836260605, -5770.571633423549, 9393.358023160596, 0.40605388327523306, 5.350463780274762, 3.9739890369116058, 9.725582509673703, -6.709281741728612, 5.885080340550868, 5.982592330725673, -12.560151923420769, -4.128882328829313, 94652.24757130092, -109064.55310747473, -137472.1438616349]"
291,0,0,,"[-6302.3186035706, 8387.1148108964, -4968.608184166387, 4.780615599608742, 1.0363250204839527, 4.703113038580968, -0.9978026993826443, 3.5037769218301342, -2.8366167489016902, -6.243746279130253, 3.121616353177094, 7.6964384641008685, 106738.70818533757, -58607.849693157914, -101857.91816709726]"
292,0,0,,"[-600.7610772916723, -9053.139001849619, -2718.6108961658447, 4.295009348317477, 4.900424106330514, 3.950415567338478, -9.884425499838683, -7.528401517597622, 2.9630438382710764, -8.865024676539594, 1.5431743222994605, -4.894226505231246, -122161.20562829036, -143786.14542461303, -170580.48759284054]"
293,0,0,,"[-7374.6234971969725, 1211.2290139724173, -1634.1389021945488, 2.5115417915115335, 0.8280742543763279, 1.1215397787612102, 10.035836960195837, -3.7565023877690367, -7.1282386552030115, -2.779878221208561, 4.103393862289437, -6.483425314811927, -140915.29198624028, 30406.217737882806, -239604.06443112675]"
294,"[array([662919.98563071, 332049.06696168, 192089.43312287]), array([662919.98563071, 332049.06696168, 192089.43312287])]","[array([-118.83215,  125.30386,  -94.21367]), array([ 118.83215, -125.30386,   94.21367])]",,"[2503.7309975773496, -6877.426274502783, 9391.592470558218, 2.2858919237698982, 0.5618408059396238, 5.624946507426914, -1.1905123838234282, -6.633834958060771, 0.2505608820848959, 4.908432741979311, 6.155195625068391, -2.282952580868729, 141498.80935531773, 15102.455468042288, -70097.36681591842]"
295,0,0,,"[-9232.131684468352, -8464.853130935935, 9701.879666878249, 1.7244415157873185, 1.140666121398553, 4.994105453896166, 8.086266806421449, -0.3396613894642755, -2.4251038146059036, -9.763648225423877, -9.601132210612514, 0.7735017920779494, 145610.81937189802, -135746.45467113852, -351519.32593119296]"
296,0,0,,"[2669.372219262683, -4400.609676334839, -9244.160146500428, 1.5806833009360057, 5.150357089087033, 5.042390574126421, 5.144684579668876, -2.1473537908346563, -4.403522822262609, -4.486220774893784, 0.2451506461407149, -5.277359795705634, -111680.53191168862, 40725.97894651795, -6271.2561800646945]"
297,"[array([ 122302.39485478,  881843.14306051, 1831961.30501415]), array([ 122302.39485478,  881843.14306051, 1831961.30501415])]","[array([-211.83542,  193.0712 ,    3.04077]), array([ 211.83542, -193.0712 ,   -3.04077])]",,"[4668.358769932011, -8810.196982023766, -8178.276593736946, 1.177457859935799, 1.5163977024011603, 4.711244281244817, -8.656559234686583, 10.287078001763906, 6.1656203141092565, 6.731867085832235, 2.0612320983195893, 3.793273241349315, 64451.991957589606, -31652.026700933915, -2566.4571888393257]"
298,0,0,,"[-4478.80861325155, 4333.425438166436, -5220.428411932878, 0.5858286543990338, 2.8713433339763133, 5.708621227135823, -6.4162679285851, -5.095852853415631, -7.963811296743404, 2.823789914999386, -4.695051766484136, -6.203242471735017, -136644.890152694, 79706.7736070168, -101943.22232507885]"
299,0,0,,"[5099.49809730601, 797.0991345569419, 7242.165827225483, 5.094794758044473, 4.807664733168041, 3.471537171601695, 1.9671137579635047, -6.406582309650492, 11.277725040154415, 2.6719432467424387, -2.2136436397788515, 3.6130443396441017, 86243.09874397161, -52066.50896888967, -16404.282912894385]"
300,"[array([634875.84306511, 418938.63147031, 258326.22909147])]","[array([-82.99159, -35.51696, -62.45125])]",,"[-8438.744109198433, -7071.973444115547, 2412.832941998973, 3.1038757626146474, 3.9789704922191094, 5.906156299647374, 12.367025690607306, 12.505459373992196, 9.788225184995177, -1.4166440960511633, 1.3307679781445483, 7.428031789349141, -133738.96127842378, 11097.103300398798, -275182.259005846]"
301,0,0,,"[1992.0956967880957, -7327.750092030752, -6702.692189500072, 4.567448325569505, 4.418403279103114, 3.6750105366319734, -10.16631657380043, -1.8104260504175018, -4.980357722393901, -0.2833218678465297, -5.717175726141565, 4.373395673609178, -100264.45729459413, -76391.32018584713, -396796.890178025]"
302,0,0,,"[-1553.4432790986248, -8737.773394827127, -1696.3107440719832, 0.7205965541556941, 3.9918317971164887, 5.928725607430733, 3.1585506377132155, 4.986860851339836, 9.530983502674442, -9.036281177791345, -8.297101889503711, 1.944122880172376, -38582.6196935468, -26610.23618801548, -354046.06566231017]"
303,0,0,,"[-4560.757343543855, -2244.7680539749663, -5320.256733096973, 4.399817492679495, 2.159769444088144, 5.539961889722708, 2.1039562974194563, -6.847480007934708, -1.4539593077488941, -11.318680062345964, -8.052170240053712, -2.4520021365975957, 139532.1017564612, 84340.03913870384, -224549.61557454642]"
304,"[array([481383.22061166, 141468.58291015, 808920.80493348]), array([481383.22061166, 141468.58291015, 808920.80493348])]","[array([-138.12157,  -15.49755, -100.82607]), array([138.12157,  15.49755, 100.82607])]",,"[5420.692349672887, 7993.702507947659, 6518.2995942262605, 1.644990034044819, 3.3082249489469455, 5.110894951786328, 8.67985781025845, -5.018471763442586, 12.358362357837919, 3.717172283228443, -10.943942919287547, -6.967768056117093, -100881.66731374428, 117346.51761267637, -299904.4506361118]"
305,0,0,,"[-5945.415799959388, 8002.128283591614, -4515.517804949871, 2.9111422172600943, 2.6316882150853043, 4.2912259898777405, -12.261585165965572, -0.3018148077722822, 8.92241953236391, -8.152451723383498, -2.2554706281429144, -7.063488281906886, -117371.24769748146, -113567.94342504532, -25077.455769431486]"
306,"[array([1341060.32621844,  288115.73267471,  401440.15115069])]","[array([-162.43024,   -2.00196, -137.95576])]",,"[7352.230774482108, -2541.4650977979654, -4135.015183235852, 2.710924662672844, 4.912494316256731, 4.879885560585246, -3.9340934796531766, 0.1946324466063274, -2.215552137485843, 6.649770369743067, 7.147975211220086, -1.7907580949058808, 101650.18110617297, -125893.95341193308, -141490.6062019344]"
307,0,0,,"[3544.594319983298, 3518.8142651139224, -5908.182531874937, 1.9864745920213038, 2.175465882147121, 5.381786368497032, -4.6039987853313065, 3.674564793843839, 1.525302286605232, 11.634525662822877, -6.426395052081883, -9.28730633200624, -78412.54419257914, 70246.08702921879, -110150.09227561328]"
308,"[array([617748.28227771, 288557.6733046 , 421977.50977555]), array([617748.28227771, 288557.6733046 , 421977.50977555])]","[array([-95.72281,  22.5328 , -81.47369]), array([ 95.72281, -22.5328 ,  81.47369])]",,"[787.6265230015542, 5443.554431503024, 6375.592889015756, 1.9568370628534946, 2.864215967967469, 4.045125678170702, 12.411834323162651, 5.757484554475711, 12.136390959709082, 6.990133137562118, -4.019354170493349, 0.47592612099131415, 86442.80911614318, 1752.7867243548098, -278378.10279990744]"
309,"[array([ 43034.49335855, 358582.02173666, 283524.85431326]), array([689214.34462676, 252606.64731037, 214187.41172005]), array([689214.34462676, 252606.64731037, 214187.41172005]), array([ 43034.49335855, 358582.02173666, 283524.85431326])]","[array([-69.61412,  68.00221, -15.24915]), array([ -9.65298, 109.33953,  79.98723]), array([   9.65298, -109.33953,  -79.98723]), array([ 69.61412, -68.00221,  15.24915])]",,"[-7274.784741292104, 3869.6989690788705, -6445.586128688481, 3.5693320930184793, 2.3027800936308243, 5.354253902006644, 2.355800602648543, -2.7503228629609415, 8.696658414575914, 6.711260811659436, 2.3017120072789155, 5.850965956048409, 145292.7994609938, -116879.40043319155, -148065.22767386568]"
310,0,0,,"[-1148.5792972412164, 6666.756938069, -2832.869104840499, 5.5045511964539235, 4.8294978621173135, 4.524736913052576, -4.437898343826735, -7.493292076485757, 5.038521989195356, -0.1712288490757583, -3.9076250365074383, -5.790392893442414, -47635.10728650626, -33883.099651973986, -114031.2679534835]"
311,"[array([1893802.01759267,  187558.19546661,  535650.31881421]), array([1893802.01759267,  187558.19546661,  535650.31881421])]","[array([-219.12677,   85.36971, -197.77163]), array([219.12677, -85.36971, 197.77163])]",,"[-9468.188751441008, 6367.283128086936, 6510.9212942591985, 2.1722801427009113, 4.416772528399472, 3.3537151265069545, -3.327442741390108, 5.504343464933191, -5.138903847627426, 5.115355040958079, -5.631422894538635, 0.6962190458337822, 114325.17653001519, -6763.64560434845, -77713.08009845368]"
312,"[array([193969.96206789, 898330.78276199, 615650.19509983]), array([193969.96206789, 898330.78276199, 615650.19509983])]","[array([-144.14019,  -11.11598,  -72.94524]), array([144.14019,  11.11598,  72.94524])]",,"[-2765.9428381073185, 591.5499528184682, -3004.933640483032, 0.4470778253234188, 5.068699658464956, 5.873663455021704, 5.95974000751275, 5.395135699666765, 9.643649928996048, 9.004283863385677, -0.8504582841780053, 0.4834915513420821, -107197.05577124635, 109495.94339836808, -288281.110158642]"
313,0,0,,"[9353.581505561557, -511.76269630030583, 2997.6150545203145, 4.136326884088379, 3.8309824174783116, 5.080831482750353, -3.805889835562482, -4.105636867668444, -2.3103292235997683, -7.228083709703153, -4.978998112100219, 5.698295338740916, -87872.6496208265, 148537.55545287335, -180363.95276779393]"
314,0,0,,"[-3962.9341880116817, 97.04219534255208, -6275.486508630656, 0.52635584639609, 5.664281425215333, 3.466679625565279, -10.812096011394415, -5.8710799146286625, 4.203824623588675, -11.264889068628818, -0.473374778214124, -7.116717904437301, -24750.049630442198, 94383.05995321041, -271523.1043210642]"
315,"[array([180637.22479123, 245918.38020051, 394755.41205184]), array([180637.22479123, 245918.38020051, 394755.41205184])]","[array([-16.2051 ,  99.41504,  83.43198]), array([ 16.2051 , -99.41504, -83.43198])]",,"[8815.633900284793, -6919.878714166987, 1110.5683402551113, 4.027114234132007, 1.8735528794808185, 3.999215983610622, 10.18599431599004, 2.154495270546189, -5.856498123264952, 8.287857303009833, -1.422780710990203, -3.913569475227062, 92313.75602563214, -110517.57138372812, -68093.05507122353]"
316,0,0,,"[-4510.4333868813055, -7748.007278928826, -3548.798083035931, 3.6790587294465347, 4.17739421166597, 3.509877840054059, -9.433838266791607, -6.415467671767843, 2.7417875207162776, 6.7479051857992935, 2.5354428770121675, -8.205098947653884, 82913.29654973134, 108470.35074210793, -208949.71867762774]"
317,0,0,,"[6772.973457519602, -8032.508133837404, 8209.482006968097, 3.3968073536049643, 3.595089822119521, 4.6053015039777865, -7.597830116136361, -1.4896501212387863, -6.4715194075471985, 1.921530959642988, -5.9604150680713905, -7.122253512487728, 68677.68607469456, -98557.50435748624, -154489.9573900448]"
318,0,0,,"[8825.405404717454, 2971.7742065315033, 3065.1186422609517, 0.3680856781314238, 0.5742861959955068, 1.2516896722221538, -5.9629164545143265, 9.037382866784196, 3.4721074942343204, -10.356503921313498, -0.8080089635960821, -4.138853352441744, -147615.24711549273, 20064.709414687997, -64681.15035724681]"
319,0,0,,"[210.28462071596186, -4974.935639122748, 4241.823562697067, 2.215673448253319, 5.19373162120949, 0.2759342263250265, -8.282259865208946, 5.782491514522167, -0.6380428639567226, 8.870814131805925, -1.6805405412659074, -11.24645445591728, -129165.46276465872, 41595.56034533377, -208151.95189707063]"
320,0,0,,"[2704.0107542619335, -4943.132654118463, -3715.9252643646832, 0.984348365961947, 3.619918884422748, 2.424630723678537, 8.591862844530215, 5.606258420362497, 9.971290082646242, 8.505497146359684, -12.158034823454223, 7.951941552360079, -116246.13227740413, -64008.43315775537, -132908.23137514334]"
321,0,0,,"[-6111.507972489246, -2239.7863265819824, 6364.4073802132225, 4.464610618614673, 2.855110456967752, 4.742722478895215, 4.965620096278233, -5.1912831379786795, 11.537585612288051, 11.180656868794976, -10.66367804706628, -8.131063330878241, -71925.83564644394, -80884.09037325592, -234779.01451923314]"
322,"[array([ 54480.47648532, 303149.80873343, 261205.03847354]), array([ 54480.47648532, 303149.80873343, 261205.03847354])]","[array([-31.06479,  95.5604 , -91.87832]), array([ 31.06479, -95.5604 ,  91.87832])]",,"[-5092.542630268357, 2879.7305380313755, -1003.4432071628671, 5.169334382575719, 1.7750852061528442, 1.8633291588263146, 1.207907663353982, 4.042727193384557, 2.93326199360218, 5.521184529158866, -6.282772014585989, 3.0261168900797095, 43406.46475617838, 20943.975755116116, -40615.12346358155]"
323,"[array([599079.01631783, 218209.98796147, 289033.38742207]), array([599079.01631783, 218209.98796147, 289033.38742207])]","[array([-197.78191, -204.0851 ,   -4.01745]), array([197.78191, 204.0851 ,   4.01745])]",,"[-1945.7610617601604, -8024.370467104553, 1261.3205067168165, 0.9721695313364306, 0.7707232912129984, 5.982795387205157, -7.150070357788051, -6.770369673929458, 1.3176366902617964, 6.783668001090412, 5.881489187224879, 3.5304041674218, -120544.46422302276, 53962.64417323825, -61839.26230224583]"
324,0,0,,"[-3966.641746372273, 7763.5117948187435, 302.1287837841883, 2.576734780414044, 0.8090867147261686, 2.8916849795630566, -0.13763486832816874, 9.370551740496712, -3.0719270561449834, -6.5544615582966275, -6.864906444854674, -0.4365926798123976, 27428.825701498397, 11963.574688378518, -123892.93284906796]"
325,"[array([832512.91281661, 278954.74361086, 213830.26623811]), array([832512.91281661, 278954.74361086, 213830.26623811])]","[array([-131.11802,   -2.44988,  -99.5713 ]), array([131.11802,   2.44988,  99.5713 ])]",,"[-8959.750089415924, 3350.3556513328967, -9406.470011537402, 0.6664125865222386, 2.25701207147487, 2.331451820217574, 9.229635276161403, 10.175734692404305, 6.177211644058465, -4.768479349453957, -6.498882322474309, 5.883466250020273, 8517.954454358813, -16621.069349492027, -399142.60296198254]"
326,"[array([1032154.55899476,  383427.52402455,  222972.25767892]), array([1032154.55899476,  383427.52402455,  222972.25767892])]","[array([ -10.55545,  113.61633, -122.54382]), array([  10.55545, -113.61633,  122.54382])]",,"[-8690.973999735106, 5561.522918456181, -6056.771838668939, 4.593947748446035, 4.831053187105017, 3.6161979111413607, 10.646247893681323, -6.976732161527329, 5.036035849802605, 3.836862349495835, 2.670119668214543, -2.477124493614628, -117527.36611474765, 114158.20952718228, -149466.4375849041]"
327,0,0,,"[-5046.320427762883, -2235.9064635555105, 7360.7745886969715, 1.5135401734163267, 2.681506053217327, 4.8209980217869095, -11.710288068771215, -1.8510640007706858, 0.23974473020169462, 8.203983606923508, -10.514898396826101, 1.359797736602097, 11204.039402184804, -143971.9290657901, -195622.3176349959]"
328,0,0,,"[-5787.742226646608, 8378.269141247256, -1668.904871512059, 2.5913171994988247, 2.7077354755017318, 0.8910004914307685, 3.2663623776607036, -7.387816922720783, 9.827633771495623, -4.966107673962383, -4.904207959485242, 6.554468906451671, 76217.94324057747, -92759.72658305599, -24174.64266927552]"
329,0,0,,"[-5775.498527563643, -3937.8378066906607, 7470.899259569342, 4.156680197561695, 0.1369674507873865, 4.668597527940819, 12.50556427559729, 8.613390152928723, 0.14577555765464822, -3.502195506127066, -10.499385591271231, 2.561871216818078, 60609.41895024484, 44173.139781514445, -106932.84216763126]"
330,"[array([421889.06832988, 273248.77943488,  80528.60192664]), array([ 68485.16227082, 377661.51658491, 275808.03803913]), array([421889.06832988, 273248.77943488,  80528.60192664])]","[array([-81.24103,  69.93023, -22.59107]), array([-25.78183, -60.22808, -83.54231]), array([ 81.24103, -69.93023,  22.59107])]",,"[3726.5893139996933, -1083.4659023325967, 8955.047178875258, 4.065477379785815, 2.9275743556836704, 3.469006475235339, 1.7745190573682947, -4.092924917641301, 10.803604238111863, 1.0211573921999566, 7.706344202286363, 1.8926561002909015, 115847.05475718086, -106979.20186841022, -145504.76908043915]"
331,"[array([ 157983.82675225, 1622773.88050092, 1137632.21630889]), array([ 157983.82675225, 1622773.88050092, 1137632.21630889])]","[array([-152.89511,  134.82326,  -72.48339]), array([ 152.89511, -134.82326,   72.48339])]",,"[9088.762622861661, -707.3167091995729, -8127.264393587224, 4.252794541803094, 4.562637310890145, 3.8139781597352482, -0.49907932739125904, 3.723886508618696, 10.549337436868633, -6.518610933708317, 7.785236452937859, -1.2222554718778849, 60461.900182525686, 106813.06288075671, -356604.518519477]"
332,"[array([ 413090.90423922,  770950.95213003, 1616442.28613115]), array([ 413090.90423922,  770950.95213003, 1616442.28613115])]","[array([-167.84414,   -4.14559, -210.04196]), array([167.84414,   4.14559, 210.04196])]",,"[-8005.700989876894, -4636.579724456385, -750.7837436195969, 1.2041115507560134, 5.077803299087121, 0.5238156805654623, 7.1002076489341555, 10.71006176370863, 11.325492603437745, 9.909274323921402, -3.4898386252825073, -7.922543787037994, -116638.67703753113, 61526.525377378595, -359324.4422983518]"
