,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
1691,"[array([4130977.04999021, 1348487.93168083,  125364.60704884]), array([4130977.04999021, 1348487.93168083,  125364.60704884])]","[array([ -48.89548, -593.29728, -521.15507]), array([ 48.89548, 593.29728, 521.15507])]",,"[-8667.123648335091, -93.6467719977627, -7755.526385655343, 4.001304990781769, 0.45622827933071297, 0.8516766630241103, -3.551029219585617, 9.69241892710949, 1.918545449713358, 11.73897560937527, -10.825547753166795, -8.554053295802987, 28288.516866889666, -78005.68656795856, -240065.48359243103]"
1692,0,0,,"[1391.9605511458522, -8534.447627708696, 1460.5611520007715, 3.631147749826417, 1.7442285015578514, 5.5579946569418075, 11.930622892135403, 2.8238966052282226, -6.776832252133163, 1.1612942827500863, 5.8639946050433345, -9.033129060170406, -144660.0202101772, 69875.69454431962, -246753.5040325586]"
1693,"[array([688941.91215181, 293944.35202753, 379146.96182746]), array([688941.91215181, 293944.35202753, 379146.96182746])]","[array([-167.56083,   -0.77493, -166.29467]), array([167.56083,   0.77493, 166.29467])]",,"[-1058.3227781789865, -8234.90149057264, 3268.256148841361, 0.9345757549037583, 4.777901415837943, 1.034474390539384, 12.216488060507128, -0.30276771485616827, 1.2673040465745693, 5.622973527029938, -6.6658460576146705, -0.5904163047089295, -91967.95656780264, 89719.34728856143, -145206.13872316296]"
1694,0,0,,"[-1530.6949504850581, -8126.294682117092, -9302.762128577464, 5.038066227546654, 4.031372807495017, 0.9712858359994335, -8.471259119312371, -6.061271093529664, 9.3167882562581, -2.578039448146802, 1.3502058550435247, -1.762175161676419, -94881.1629057194, -6838.0406813418085, -329406.99258813227]"
1695,0,0,,"[-3152.5349295584747, 3570.130913457988, 7682.64345053049, 4.170838202637602, 5.611017479175604, 5.1917881706681905, -6.4030111526450835, -7.040612541917338, -7.187526839541873, -12.148561511884788, -2.208419329330667, -11.586274731373047, -89585.77636374335, 141397.66362999898, -291337.2129336188]"
1696,"[array([1238205.07881006,  618399.94166228,  208002.24770149])]","[array([-132.84124,  -64.65573, -193.69046])]",,"[-8713.262339008414, -2006.7363680954968, -2521.794986645742, 5.350032177916438, 2.0823925044865597, 0.848744639334082, 5.038204836602823, 10.162175803360856, -6.677810279002766, -4.883585638063402, -3.806265552989778, 5.606855882865187, -128782.44945495244, -85652.93186508748, -173742.43098998666]"
1697,"[array([555614.72031606, 142586.29505058, 224377.98393637]), array([555614.72031606, 142586.29505058, 224377.98393637])]","[array([-110.5124 ,   61.29813, -151.53252]), array([110.5124 , -61.29813, 151.53252])]",,"[-7672.853232870507, 6181.872811464107, -982.6445314296088, 0.94146740145049, 1.4646551618178263, 0.5062113238110264, 0.1565913484837509, -4.085246602483795, 3.6808819402662483, 12.461062276508553, 4.008650377134536, -1.1904350862683781, 146786.75483857928, 20102.1635534151, -137919.21555682528]"
1698,"[array([794235.33183154, 323922.17892646, 176639.24440886]), array([794235.33183154, 323922.17892646, 176639.24440886])]","[array([ -57.21525,  125.83613, -128.62826]), array([  57.21525, -125.83613,  128.62826])]",,"[-9410.073256988137, -8623.848945902937, 5782.968347822429, 4.215617999911587, 0.6450205720662108, 0.6119786327875165, -0.3367679365758871, 8.447804723529675, 11.217651018542817, 4.15229062513448, -4.97091376319465, 1.1353681259059112, 102416.20775337814, 148278.63268045668, -168305.24382919306]"
1699,0,0,,"[-9095.711213077848, 3708.4385851062743, 9498.019278998741, 5.42645261565315, 4.266529177366047, 0.4051630010843922, -8.397739841003435, -1.6130688185998574, -5.794971143121268, 9.495805088786312, -4.739593617169156, -6.188387301603747, 126158.34739640821, -138540.08072809494, -56528.518228509754]"
1700,"[array([2229826.90208435,  399141.60120348,  620946.52257483]), array([2229826.90208435,  399141.60120348,  620946.52257483])]","[array([-173.89788,   18.95777, -160.54107]), array([173.89788, -18.95777, 160.54107])]",,"[6389.673400167594, 4183.904618508077, 2450.999707904477, 4.068644486049824, 0.5973154984793149, 5.837840962434652, 7.550624192132801, -7.686963137942439, -5.977003944127855, 6.813816047630247, 3.57347087022924, -0.027798199683553904, -40506.253345670455, 120541.5290105723, -199940.8545556417]"
