,Roots,Real Roots,Accuracy,Paths,Other Info
57,[ 0.358+3.015j  3.557+0.j    -5.909-3.108j  0.   +0.j   ],,"[1.4217791915866692e-14, 7.105427357601002e-15, 2.842170943040401e-14, 4.6302187616987944e-76]",-,
58,[0.367-3.941j 3.356-0.038j 6.558+4.753j 0.601+0.056j],,"[2.5250679726393166e-14, 7.105427357601002e-15, 0.0, 1.9860273225978185e-15]",-,
59,[0.367+3.941j 3.356+0.038j 6.558-4.753j 0.601-0.056j],,"[2.5250679726393166e-14, 7.105427357601002e-15, 0.0, 1.9860273225978185e-15]",-,
60,[ 0.382-2.861j  3.452-0.029j -6.218+3.452j -0.436-0.058j],,"[3.9968028886505635e-15, 0.0, 2.842170943040401e-14, 4.440892098500626e-16]",-,
61,[ 0.382+2.861j  3.452+0.029j -6.218-3.452j -0.436+0.058j],,"[3.9968028886505635e-15, 0.0, 2.842170943040401e-14, 4.440892098500626e-16]",-,
62,[ 2.435-1.303j -1.734-2.991j  2.399-6.579j  0.199+0.371j],,"[2.135787485786098e-14, 7.444291678311382e-15, 0.0, 1.336885555457667e-15]",-,
63,[ 2.435+1.303j -1.734+2.991j  2.399+6.579j  0.199-0.371j],,"[2.135787485786098e-14, 7.588599744428075e-15, 0.0, 1.4655364458042814e-15]",-,
64,[ 2.507-1.381j -1.729-2.986j  2.161-5.577j -0.211-0.382j],,"[3.7030223716586206e-14, 2.4424906541753444e-15, 7.105427357601002e-14, 8.049116928532385e-16]",-,
65,[ 2.507+1.381j -1.729+2.986j  2.161+5.577j -0.211+0.382j],,"[1.0367366991496098e-14, 9.155133597044475e-15, 8.038873388460929e-14, 1.6653345369377348e-16]",-,
66,[ 2.574-1.394j -1.778-3.08j   2.312-6.177j  0.   +0.j   ],,"[4.975583117394222e-14, 7.105427357601002e-15, 6.355287432313019e-14, 1.0675306245343681e-75]",-,
67,[ 2.574+1.394j -1.778+3.08j   2.312+6.177j  0.   -0.j   ],,"[2.845291731937278e-14, 7.105427357601002e-15, 4.0194366942304644e-14, 8.374399209013287e-76]",-,
68,[ 2.789-2.301j -1.649-2.968j  5.53 +4.664j -0.351-0.425j],,"[2.1760371282653068e-14, 1.9984014443252818e-15, 5.684341886080802e-14, 0.0]",-,
69,[ 2.789+2.301j -1.649+2.968j  5.53 -4.664j -0.351+0.425j],,"[3.5795353403832015e-14, 1.3322676295501878e-15, 5.684341886080802e-14, 1.2560739669470201e-15]",-,
