1.1012798968412791 - 1.718240642256975im,1.138075563940085 - 1.8934638884065031im,-2.222792557409405 - 0.8289053509118613im,3.0232142077932176 + 1.534639301958797im
0.2783115737323519 + 1.4752490007194223im,1.1707249971448634 + 2.0632712357528504im,1.3082890740119457 - 0.44327575600384467im,-0.1431461108573042 + 1.726388300617249im
-1.7320574880860062 + 0.22936130151059617im,1.207721306858918 + 1.9747975575302383im,1.6175767838995283 - 0.4568285573307127im,1.9181894432539506 + 2.5691671857997416im
0.8717824442366982 - 1.8334315752387447im,1.2899014509782412 + 2.0114215180958404im,0.7557316903115449 - 1.666661173965179im,2.3815756771618064 + 1.1477431764330646im
0.7478849745939063 + 1.3084475085869225im,-2.3605035353372408 - 0.023718041796535607im,1.3222173148598788 + 0.34097195929204493im,0.3836614537288367 + 2.249193625564051im
-2.185351242000483 - 0.035352202535525415im,-2.2710606324479334 + 0.05539572457586685im,1.2291140015199544 - 1.0098030762097543im,1.8308843813234537 + 3.0295550468792354im
0.8373838746489229 - 1.395789081592988im,-2.4475520614021673 + 0.0983339913484008im,1.6300578625799929 - 1.3913748587833357im,2.3565884352506647 + 1.2543502436419043im
0.8190973276239367 + 1.925639488466109im,1.2026678709591443 - 2.039390754522357im,0.7265067121592429 - 0.04976118388644211im,-0.01685748545219233 + 2.6914454085113095im
-1.7632663690309618 - 0.23255773460953733im,1.0673862853089895 - 2.0412738798591623im,1.9439547533225396 - 0.9919996709687311im,1.6164083279939492 + 2.662288402723871im
0.3565623734612243 - 1.6033824362793547im,1.1513452250260932 - 2.1122091765054254im,1.025537557410682 - 0.8479603824772131im,2.2065267530272825 + 0.8279257836842888im
-0.08663946378130358 + 1.2303598181145308im,1.21230063175741 + 2.0939868500427172im,0.5847011381184826 + 0.6756845741433867im,-0.7383383593034184 - 0.2654972882715776im
-0.7216592876110556 - 0.5195574105530809im,1.1688363661992889 + 2.1004684881841915im,0.9582924423515332 + 1.5767686400975838im,-2.0301095019057733 - 0.22741580316701318im
1.3862279675674192 - 1.046939231104168im,1.172168113330015 + 1.9828081202388679im,0.7660648533310396 + 1.671631610409802im,-2.7404245040057784 + 0.8053604289023002im
