,Parameters,Minima Found,Cost Function Values,Other Info
21,"[ 2.51398e+05  1.31229e+05  1.60046e+05  4.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.77000e+02 -2.79000e+03]","[array([-177.67131,    1.79425, -142.18532]), array([-176.88637,    1.84006,  140.63919]), array([-1.9447500e+00,  2.5613913e+02,  2.0890000e-02]), array([ 1.9447500e+00, -2.5613913e+02, -2.0890000e-02]), array([ 176.88637,   -1.84006, -140.63919]), array([177.67131,  -1.79425, 142.18532])]",1.0790531532885197,
22,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  3.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-160.15821,    1.6427 , -165.69984]), array([-156.97481,    1.72236,  160.83681]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 156.97481,   -1.72236, -160.83681]), array([160.15821,  -1.6427 , 165.69984])]",1.0790531532885197,
23,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  1.00000e+00  0.00000e+00  1.90970e+04 -1.37000e+02 -9.80600e+03]","[array([-159.94631,    2.15127, -143.8066 ]), array([-157.18907,    2.25866,  138.94198]), array([-1.9447100e+00,  2.5613914e+02,  1.2770000e-02]), array([ 1.9447100e+00, -2.5613914e+02, -1.2770000e-02]), array([ 157.18907,   -2.25866, -138.94198]), array([159.94631,  -2.15127, 143.8066 ])]",1.0790531532885197,
24,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94908,    1.87881, -143.80487]), array([-157.19246,    1.97115,  138.93955]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.19246,   -1.97115, -138.93955]), array([159.94908,  -1.87881, 143.80487])]",1.0790531532885197,
25,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.80526,    2.05697, -128.86177]), array([-157.33975,    2.15723,  123.99447]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.33975,   -2.15723, -123.99447]), array([159.80526,  -2.05697, 128.86177])]",1.0790531532885197,
26,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  4.00000e+00  0.00000e+00  3.20000e+01
  8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94628,    2.15423, -143.80663]), array([-157.18911,    2.25564,  138.94195]), array([-1.9447300e+00,  2.5613913e+02,  6.8500000e-03]), array([ 1.9447300e+00, -2.5613913e+02, -6.8500000e-03]), array([ 157.18911,   -2.25564, -138.94195]), array([159.94628,  -2.15423, 143.80663])]",1.0790531532885197,
27,"[ 2.51398e+05  1.31229e+05  1.60046e+05  9.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-119.56797,    2.07595, -143.20685]), array([-116.81136,    2.18541,  139.58083]), array([-1.9447000e+00,  2.5613914e+02,  4.5000000e-03]), array([ 1.9447000e+00, -2.5613914e+02, -4.5000000e-03]), array([ 116.81136,   -2.18541, -139.58083]), array([119.56797,  -2.07595, 143.20685])]",1.0790531532885197,
28,"[ 2.51398e+05  2.29717e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  4.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94466,    2.27176, -143.7973 ]), array([-157.18705,    2.40154,  138.93034]), array([-1.3537900e+00,  3.3890485e+02,  7.4600000e-03]), array([ 1.3537900e+00, -3.3890485e+02, -7.4600000e-03]), array([ 157.18705,   -2.40154, -138.93034]), array([159.94466,  -2.27176, 143.7973 ])]",1.0790531532885197,
29,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.48460e+04 -1.08000e+02 -9.80600e+03]","[array([-159.95553,    2.44751, -143.78699]), array([-157.19945,    2.56185,  138.91869]), array([-2.5302900e+00,  2.5612933e+02,  1.4900000e-03]), array([ 2.5302900e+00, -2.5612933e+02, -1.4900000e-03]), array([ 157.19945,   -2.56185, -138.91869]), array([159.95553,  -2.44751, 143.78699])]",1.0790531532885197,
30,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94908,    1.87881, -143.80487]), array([-157.19246,    1.97115,  138.93955]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.19246,   -1.97115, -138.93955]), array([159.94908,  -1.87881, 143.80487])]",1.0790531678891946,
